Location,1/22/20,1/23/20,delta
"Carson City, Nevada, US",0,0,0.00
"Churchill, Nevada, US",0,0,0.00
"Clark, Nevada, US",0,0,0.00
"Douglas, Nevada, US",0,0,0.00
"Elko, Nevada, US",0,0,0.00
"Esmeralda, Nevada, US",0,0,0.00
"Eureka, Nevada, US",0,0,0.00
"Humboldt, Nevada, US",0,0,0.00
"Lander, Nevada, US",0,0,0.00
"Lincoln, Nevada, US",0,0,0.00
"Lyon, Nevada, US",0,0,0.00
"Mineral, Nevada, US",0,0,0.00
"Nye, Nevada, US",0,0,0.00
"Out of NV, Nevada, US",0,0,0.00
"Pershing, Nevada, US",0,0,0.00
"Storey, Nevada, US",0,0,0.00
"Washoe, Nevada, US",0,0,0.00
"White Pine, Nevada, US",0,0,0.00
