"Clark, Nevada, US",3717,3793,2.04
"Washoe, Nevada, US",804,834,3.73
"Carson City, Nevada, US",39,44,12.82
"Humboldt, Nevada, US",36,37,2.78
"Nye, Nevada, US",35,35,0.00
"Lyon, Nevada, US",26,27,3.85
"Douglas, Nevada, US",19,19,0.00
"Elko, Nevada, US",15,15,0.00
"Churchill, Nevada, US",3,3,0.00
"White Pine, Nevada, US",3,3,0.00
"Mineral, Nevada, US",2,4,100.00
"Lander, Nevada, US",1,7,600.00
"Esmeralda, Nevada, US",0,0,0.00
"Eureka, Nevada, US",0,0,0.00
"Lincoln, Nevada, US",0,0,0.00
"Out of NV, Nevada, US",0,0,0.00
"Pershing, Nevada, US",0,0,0.00
"Storey, Nevada, US",0,0,0.00
