Location,4/25/21,4/26/21,delta
"Bergen, New Jersey, US",100210,100215,0.00
"Essex, New Jersey, US",94947,92122,-2.98
"Middlesex, New Jersey, US",91810,90090,-1.87
"Hudson, New Jersey, US",87333,86004,-1.52
"Monmouth, New Jersey, US",74408,73835,-0.77
"Ocean, New Jersey, US",74234,74133,-0.14
"Passaic, New Jersey, US",71102,70760,-0.48
"Union, New Jersey, US",70053,69545,-0.73
"Camden, New Jersey, US",53460,53297,-0.30
"Morris, New Jersey, US",49346,49070,-0.56
"Burlington, New Jersey, US",43622,43469,-0.35
"Mercer, New Jersey, US",33304,33006,-0.89
"Atlantic, New Jersey, US",30884,30679,-0.66
"Gloucester, New Jersey, US",29492,29331,-0.55
"Somerset, New Jersey, US",29334,29161,-0.59
"Cumberland, New Jersey, US",16342,16255,-0.53
"Sussex, New Jersey, US",13462,13390,-0.53
"Warren, New Jersey, US",9573,9560,-0.14
"Hunterdon, New Jersey, US",9437,9438,0.01
"Cape May, New Jersey, US",8901,8879,-0.25
"Salem, New Jersey, US",5786,5782,-0.07
"Out of NJ, New Jersey, US",0,0,0.00
