"Bergen, New Jersey, US",819,1206,47.25
"Essex, New Jersey, US",381,609,59.84
"Middlesex, New Jersey, US",316,505,59.81
"Monmouth, New Jersey, US",313,501,60.06
"Union, New Jersey, US",262,432,64.89
"Hudson, New Jersey, US",260,441,69.62
"Passaic, New Jersey, US",255,399,56.47
"Morris, New Jersey, US",223,315,41.26
"Ocean, New Jersey, US",222,389,75.23
"Somerset, New Jersey, US",117,179,52.99
"Mercer, New Jersey, US",82,111,35.37
"Camden, New Jersey, US",61,73,19.67
"Burlington, New Jersey, US",48,64,33.33
"Sussex, New Jersey, US",27,49,81.48
"Hunterdon, New Jersey, US",25,39,56.00
"Gloucester, New Jersey, US",23,33,43.48
"Warren, New Jersey, US",18,31,72.22
"Atlantic, New Jersey, US",12,10,-16.67
"Cape May, New Jersey, US",4,6,50.00
"Cumberland, New Jersey, US",3,4,33.33
"Salem, New Jersey, US",1,2,100.00
"Out of NJ, New Jersey, US",0,0,0.00
