"Bernalillo, New Mexico, US",55,93,69.09
"Santa Fe, New Mexico, US",22,29,31.82
"Dona Ana, New Mexico, US",16,17,6.25
"San Juan, New Mexico, US",14,18,28.57
"Sandoval, New Mexico, US",10,15,50.00
"Chaves, New Mexico, US",4,7,75.00
"McKinley, New Mexico, US",3,5,66.67
"Taos, New Mexico, US",3,8,166.67
"Rio Arriba, New Mexico, US",2,3,50.00
"Socorro, New Mexico, US",2,2,0.00
"Cibola, New Mexico, US",1,2,100.00
"Curry, New Mexico, US",1,1,0.00
"Eddy, New Mexico, US",1,3,200.00
"Lea, New Mexico, US",1,2,100.00
"San Miguel, New Mexico, US",1,1,0.00
"Catron, New Mexico, US",0,0,0.00
"Colfax, New Mexico, US",0,0,0.00
"De Baca, New Mexico, US",0,0,0.00
"Grant, New Mexico, US",0,0,0.00
"Guadalupe, New Mexico, US",0,0,0.00
"Harding, New Mexico, US",0,0,0.00
"Hidalgo, New Mexico, US",0,0,0.00
"Lincoln, New Mexico, US",0,0,0.00
"Los Alamos, New Mexico, US",0,0,0.00
"Luna, New Mexico, US",0,0,0.00
"Mora, New Mexico, US",0,0,0.00
"Otero, New Mexico, US",0,0,0.00
"Out of NM, New Mexico, US",0,0,0.00
"Quay, New Mexico, US",0,0,0.00
"Roosevelt, New Mexico, US",0,1,0.00
"Sierra, New Mexico, US",0,0,0.00
"Torrance, New Mexico, US",0,0,0.00
"Union, New Mexico, US",0,0,0.00
"Valencia, New Mexico, US",0,1,0.00
