Location,11/18/20,11/19/20,delta
"Bernalillo, New Mexico, US",18425,19541,6.06
"Dona Ana, New Mexico, US",10789,11289,4.63
"McKinley, New Mexico, US",5438,5647,3.84
"San Juan, New Mexico, US",4561,4707,3.20
"Santa Fe, New Mexico, US",3542,3808,7.51
"Chaves, New Mexico, US",3452,3563,3.22
"Sandoval, New Mexico, US",3338,3606,8.03
"Lea, New Mexico, US",3222,3378,4.84
"Curry, New Mexico, US",2516,2601,3.38
"Eddy, New Mexico, US",2297,2364,2.92
"Valencia, New Mexico, US",1855,1986,7.06
"Luna, New Mexico, US",1613,1667,3.35
"Cibola, New Mexico, US",1106,1190,7.59
"Otero, New Mexico, US",972,1037,6.69
"Rio Arriba, New Mexico, US",885,967,9.27
"Roosevelt, New Mexico, US",768,793,3.26
"Lincoln, New Mexico, US",557,585,5.03
"Taos, New Mexico, US",537,589,9.68
"Socorro, New Mexico, US",446,472,5.83
"Grant, New Mexico, US",348,366,5.17
"San Miguel, New Mexico, US",304,328,7.89
"Sierra, New Mexico, US",211,220,4.27
"Torrance, New Mexico, US",191,196,2.62
"Quay, New Mexico, US",161,169,4.97
"Hidalgo, New Mexico, US",148,154,4.05
"Colfax, New Mexico, US",110,119,8.18
"Los Alamos, New Mexico, US",98,103,5.10
"Guadalupe, New Mexico, US",87,91,4.60
"Union, New Mexico, US",58,79,36.21
"De Baca, New Mexico, US",27,27,0.00
"Mora, New Mexico, US",25,29,16.00
"Catron, New Mexico, US",22,25,13.64
"Harding, New Mexico, US",4,4,0.00
"Out of NM, New Mexico, US",0,0,0.00
