Location,9/14/20,9/15/20,delta
"Bernalillo, New Mexico, US",6077,6093,0.26
"McKinley, New Mexico, US",4266,4278,0.28
"San Juan, New Mexico, US",3233,3233,0.00
"Dona Ana, New Mexico, US",3031,3038,0.23
"Sandoval, New Mexico, US",1292,1297,0.39
"Lea, New Mexico, US",1264,1268,0.32
"Chaves, New Mexico, US",956,965,0.94
"Santa Fe, New Mexico, US",909,913,0.44
"Curry, New Mexico, US",724,727,0.41
"Eddy, New Mexico, US",625,631,0.96
"Valencia, New Mexico, US",532,533,0.19
"Cibola, New Mexico, US",403,403,0.00
"Rio Arriba, New Mexico, US",374,375,0.27
"Luna, New Mexico, US",372,377,1.34
"Otero, New Mexico, US",240,241,0.42
"Roosevelt, New Mexico, US",230,231,0.43
"Lincoln, New Mexico, US",177,178,0.56
"Taos, New Mexico, US",124,125,0.81
"Grant, New Mexico, US",99,99,0.00
"Hidalgo, New Mexico, US",98,98,0.00
"San Miguel, New Mexico, US",91,91,0.00
"Socorro, New Mexico, US",78,78,0.00
"Quay, New Mexico, US",69,69,0.00
"Torrance, New Mexico, US",64,64,0.00
"Sierra, New Mexico, US",39,39,0.00
"Guadalupe, New Mexico, US",32,32,0.00
"Union, New Mexico, US",31,31,0.00
"Los Alamos, New Mexico, US",29,29,0.00
"Colfax, New Mexico, US",24,25,4.17
"Catron, New Mexico, US",11,11,0.00
"Mora, New Mexico, US",7,7,0.00
"De Baca, New Mexico, US",2,1,-50.00
"Harding, New Mexico, US",2,2,0.00
"Out of NM, New Mexico, US",0,0,0.00
