Location,1/22/20,1/23/20,delta
"Bernalillo, New Mexico, US",0,0,0.00
"Catron, New Mexico, US",0,0,0.00
"Chaves, New Mexico, US",0,0,0.00
"Cibola, New Mexico, US",0,0,0.00
"Colfax, New Mexico, US",0,0,0.00
"Curry, New Mexico, US",0,0,0.00
"De Baca, New Mexico, US",0,0,0.00
"Dona Ana, New Mexico, US",0,0,0.00
"Eddy, New Mexico, US",0,0,0.00
"Grant, New Mexico, US",0,0,0.00
"Guadalupe, New Mexico, US",0,0,0.00
"Harding, New Mexico, US",0,0,0.00
"Hidalgo, New Mexico, US",0,0,0.00
"Lea, New Mexico, US",0,0,0.00
"Lincoln, New Mexico, US",0,0,0.00
"Los Alamos, New Mexico, US",0,0,0.00
"Luna, New Mexico, US",0,0,0.00
"McKinley, New Mexico, US",0,0,0.00
"Mora, New Mexico, US",0,0,0.00
"Otero, New Mexico, US",0,0,0.00
"Out of NM, New Mexico, US",0,0,0.00
"Quay, New Mexico, US",0,0,0.00
"Rio Arriba, New Mexico, US",0,0,0.00
"Roosevelt, New Mexico, US",0,0,0.00
"San Juan, New Mexico, US",0,0,0.00
"San Miguel, New Mexico, US",0,0,0.00
"Sandoval, New Mexico, US",0,0,0.00
"Santa Fe, New Mexico, US",0,0,0.00
"Sierra, New Mexico, US",0,0,0.00
"Socorro, New Mexico, US",0,0,0.00
"Taos, New Mexico, US",0,0,0.00
"Torrance, New Mexico, US",0,0,0.00
"Union, New Mexico, US",0,0,0.00
"Valencia, New Mexico, US",0,0,0.00
