Location,6/14/20,6/15/20,delta
"McKinley, New Mexico, US",2912,2936,0.82
"San Juan, New Mexico, US",2098,2123,1.19
"Bernalillo, New Mexico, US",1693,1705,0.71
"Dona Ana, New Mexico, US",658,657,-0.15
"Sandoval, New Mexico, US",630,634,0.63
"Cibola, New Mexico, US",184,185,0.54
"Santa Fe, New Mexico, US",170,173,1.76
"Valencia, New Mexico, US",89,89,0.00
"Curry, New Mexico, US",81,83,2.47
"Rio Arriba, New Mexico, US",60,59,-1.67
"Chaves, New Mexico, US",59,59,0.00
"Socorro, New Mexico, US",55,55,0.00
"Roosevelt, New Mexico, US",53,53,0.00
"Eddy, New Mexico, US",47,47,0.00
"Lea, New Mexico, US",42,44,4.76
"Torrance, New Mexico, US",34,34,0.00
"Taos, New Mexico, US",32,33,3.13
"Otero, New Mexico, US",29,30,3.45
"Luna, New Mexico, US",27,29,7.41
"Guadalupe, New Mexico, US",20,20,0.00
"Grant, New Mexico, US",16,16,0.00
"San Miguel, New Mexico, US",16,16,0.00
"Colfax, New Mexico, US",7,8,14.29
"Los Alamos, New Mexico, US",7,7,0.00
"Lincoln, New Mexico, US",6,6,0.00
"Union, New Mexico, US",5,5,0.00
"Quay, New Mexico, US",4,4,0.00
"Sierra, New Mexico, US",4,4,0.00
"Hidalgo, New Mexico, US",3,20,566.67
"Catron, New Mexico, US",2,2,0.00
"Harding, New Mexico, US",1,1,0.00
"De Baca, New Mexico, US",0,0,0.00
"Mora, New Mexico, US",0,0,0.00
"Out of NM, New Mexico, US",0,0,0.00
