"Bernalillo, New Mexico, US",407,440,8.11
"Sandoval, New Mexico, US",177,235,32.77
"San Juan, New Mexico, US",142,151,6.34
"McKinley, New Mexico, US",113,144,27.43
"Santa Fe, New Mexico, US",72,75,4.17
"Dona Ana, New Mexico, US",44,49,11.36
"Cibola, New Mexico, US",24,25,4.17
"Chaves, New Mexico, US",18,19,5.56
"Taos, New Mexico, US",15,15,0.00
"Valencia, New Mexico, US",14,18,28.57
"Socorro, New Mexico, US",10,12,20.00
"Curry, New Mexico, US",9,10,11.11
"Torrance, New Mexico, US",9,10,11.11
"Grant, New Mexico, US",7,9,28.57
"Rio Arriba, New Mexico, US",7,7,0.00
"Eddy, New Mexico, US",6,7,16.67
"Los Alamos, New Mexico, US",4,5,25.00
"Otero, New Mexico, US",3,4,33.33
"Lea, New Mexico, US",2,2,0.00
"Luna, New Mexico, US",2,2,0.00
"Catron, New Mexico, US",1,1,0.00
"Colfax, New Mexico, US",1,1,0.00
"Hidalgo, New Mexico, US",1,0,-100.00
"Lincoln, New Mexico, US",1,1,0.00
"Roosevelt, New Mexico, US",1,1,0.00
"San Miguel, New Mexico, US",1,1,0.00
"De Baca, New Mexico, US",0,0,0.00
"Guadalupe, New Mexico, US",0,0,0.00
"Harding, New Mexico, US",0,0,0.00
"Mora, New Mexico, US",0,0,0.00
"Out of NM, New Mexico, US",0,0,0.00
"Quay, New Mexico, US",0,1,0.00
"Sierra, New Mexico, US",0,0,0.00
"Union, New Mexico, US",0,0,0.00
