Location,4/22/20,4/23/20,delta
"Queens, New York, US",46455,47703,2.69
"Kings, New York, US",40977,41990,2.47
"Bronx, New York, US",33526,34529,2.99
"Nassau, New York, US",31555,32124,1.80
"Suffolk, New York, US",28854,29567,2.47
"Westchester, New York, US",25276,25959,2.70
"New York, New York, US",18454,18847,2.13
"Richmond, New York, US",10884,11114,2.11
"Rockland, New York, US",9699,9828,1.33
"Orange, New York, US",7152,6816,-4.70
"Dutchess, New York, US",2391,2460,2.89
"Erie, New York, US",2284,2450,7.27
"Monroe, New York, US",1112,1152,3.60
"Ulster, New York, US",1018,942,-7.47
"Putnam, New York, US",831,615,-25.99
"Albany, New York, US",737,758,2.85
"Onondaga, New York, US",667,600,-10.04
"Sullivan, New York, US",592,580,-2.03
"Schenectady, New York, US",352,288,-18.18
"Oneida, New York, US",301,317,5.32
"Saratoga, New York, US",277,265,-4.33
"Niagara, New York, US",268,295,10.07
"Broome, New York, US",219,224,2.28
"Steuben, New York, US",214,171,-20.09
"Rensselaer, New York, US",202,191,-5.45
"St. Lawrence, New York, US",123,139,13.01
"Tompkins, New York, US",123,119,-3.25
"Genesee, New York, US",122,126,3.28
"Madison, New York, US",121,106,-12.40
"Columbia, New York, US",120,123,2.50
"Warren, New York, US",108,119,10.19
"Greene, New York, US",87,89,2.30
"Chenango, New York, US",79,82,3.80
"Chemung, New York, US",75,76,1.33
"Ontario, New York, US",73,73,0.00
"Washington, New York, US",73,80,9.59
"Delaware, New York, US",62,50,-19.35
"Clinton, New York, US",56,52,-7.14
"Orleans, New York, US",56,59,5.36
"Jefferson, New York, US",54,56,3.70
"Herkimer, New York, US",53,54,1.89
"Oswego, New York, US",52,49,-5.77
"Wayne, New York, US",52,53,1.92
"Otsego, New York, US",49,50,2.04
"Wyoming, New York, US",44,41,-6.82
"Livingston, New York, US",39,41,5.13
"Tioga, New York, US",39,40,2.56
"Montgomery, New York, US",38,39,2.63
"Cattaraugus, New York, US",37,37,0.00
"Cayuga, New York, US",36,37,2.78
"Chautauqua, New York, US",36,26,-27.78
"Allegany, New York, US",30,30,0.00
"Fulton, New York, US",28,28,0.00
"Cortland, New York, US",25,25,0.00
"Essex, New York, US",22,22,0.00
"Schoharie, New York, US",20,21,5.00
"Seneca, New York, US",18,18,0.00
"Franklin, New York, US",13,13,0.00
"Yates, New York, US",11,11,0.00
"Lewis, New York, US",9,9,0.00
"Schuyler, New York, US",8,7,-12.50
"Hamilton, New York, US",3,3,0.00
"Out of NY, New York, US",0,0,0.00
