Location,4/2/20,4/3/20,delta
"Mecklenburg, North Carolina, US",534,603,12.92
"Wake, North Carolina, US",253,278,9.88
"Durham, North Carolina, US",165,186,12.73
"Guilford, North Carolina, US",79,94,18.99
"Forsyth, North Carolina, US",63,81,28.57
"Union, North Carolina, US",59,61,3.39
"Cabarrus, North Carolina, US",51,58,13.73
"Orange, North Carolina, US",49,56,14.29
"Davidson, North Carolina, US",42,52,23.81
"Gaston, North Carolina, US",39,46,17.95
"Cumberland, North Carolina, US",37,43,16.22
"New Hanover, North Carolina, US",37,37,0.00
"Iredell, North Carolina, US",36,42,16.67
"Northampton, North Carolina, US",36,38,5.56
"Rowan, North Carolina, US",36,44,22.22
"Pitt, North Carolina, US",31,34,9.68
"Johnston, North Carolina, US",26,27,3.85
"Buncombe, North Carolina, US",25,29,16.00
"Henderson, North Carolina, US",24,25,4.17
"Brunswick, North Carolina, US",23,23,0.00
"Granville, North Carolina, US",22,23,4.55
"Randolph, North Carolina, US",20,27,35.00
"Wilson, North Carolina, US",20,23,15.00
"Chatham, North Carolina, US",19,21,10.53
"Harnett, North Carolina, US",19,23,21.05
"Alamance, North Carolina, US",18,18,0.00
"Catawba, North Carolina, US",16,16,0.00
"Nash, North Carolina, US",16,18,12.50
"Carteret, North Carolina, US",14,15,7.14
"Franklin, North Carolina, US",14,15,7.14
"Davie, North Carolina, US",12,14,16.67
"Moore, North Carolina, US",12,13,8.33
"Burke, North Carolina, US",11,13,18.18
"Craven, North Carolina, US",11,13,18.18
"Onslow, North Carolina, US",10,13,30.00
"Hoke, North Carolina, US",9,10,11.11
"Lincoln, North Carolina, US",9,9,0.00
"Rutherford, North Carolina, US",9,12,33.33
"Wayne, North Carolina, US",9,11,22.22
"Cherokee, North Carolina, US",8,8,0.00
"Cleveland, North Carolina, US",8,11,37.50
"McDowell, North Carolina, US",8,8,0.00
"Montgomery, North Carolina, US",8,9,12.50
"Watauga, North Carolina, US",8,8,0.00
"Beaufort, North Carolina, US",7,8,14.29
"Bertie, North Carolina, US",7,7,0.00
"Halifax, North Carolina, US",7,10,42.86
"Pasquotank, North Carolina, US",7,8,14.29
"Vance, North Carolina, US",7,9,28.57
"Stanly, North Carolina, US",6,7,16.67
"Edgecombe, North Carolina, US",5,6,20.00
"Greene, North Carolina, US",5,5,0.00
"Lenoir, North Carolina, US",5,7,40.00
"Transylvania, North Carolina, US",5,5,0.00
"Columbus, North Carolina, US",4,5,25.00
"Duplin, North Carolina, US",4,5,25.00
"Hertford, North Carolina, US",4,4,0.00
"Polk, North Carolina, US",4,6,50.00
"Wilkes, North Carolina, US",4,4,0.00
"Yadkin, North Carolina, US",4,6,50.00
"Anson, North Carolina, US",3,3,0.00
"Caldwell, North Carolina, US",3,5,66.67
"Clay, North Carolina, US",3,3,0.00
"Lee, North Carolina, US",3,3,0.00
"Martin, North Carolina, US",3,3,0.00
"Person, North Carolina, US",3,5,66.67
"Robeson, North Carolina, US",3,3,0.00
"Rockingham, North Carolina, US",3,5,66.67
"Stokes, North Carolina, US",3,5,66.67
"Alexander,North Carolina,US",2,2,0.00
"Alleghany, North Carolina, US",2,2,0.00
"Dare, North Carolina, US",2,2,0.00
"Mitchell, North Carolina, US",2,2,0.00
"Pamlico, North Carolina, US",2,3,50.00
"Sampson, North Carolina, US",2,3,50.00
"Scotland, North Carolina, US",2,2,0.00
"Surry, North Carolina, US",2,3,50.00
"Washington, North Carolina, US",2,3,50.00
"Bladen, North Carolina, US",1,1,0.00
"Caswell, North Carolina, US",1,1,0.00
"Chowan, North Carolina, US",1,1,0.00
"Currituck, North Carolina, US",1,1,0.00
"Gates, North Carolina, US",1,2,100.00
"Haywood, North Carolina, US",1,2,100.00
"Macon, North Carolina, US",1,1,0.00
"Perquimans, North Carolina, US",1,1,0.00
"Ashe, North Carolina, US",0,1,0.00
"Avery, North Carolina, US",0,0,0.00
"Camden, North Carolina, US",0,0,0.00
"Graham, North Carolina, US",0,0,0.00
"Hyde, North Carolina, US",0,0,0.00
"Jackson, North Carolina, US",0,0,0.00
"Jones, North Carolina, US",0,0,0.00
"Madison, North Carolina, US",0,0,0.00
"Out of NC, North Carolina, US",0,0,0.00
"Pender, North Carolina, US",0,0,0.00
"Richmond, North Carolina, US",0,1,0.00
"Swain, North Carolina, US",0,0,0.00
"Tyrrell, North Carolina, US",0,0,0.00
"Warren, North Carolina, US",0,1,0.00
"Yancey, North Carolina, US",0,0,0.00
