Location,3/27/20,3/28/20,delta
"Cuyahoga, Ohio, US",330,370,12.12
"Franklin, Ohio, US",152,222,46.05
"Mahoning, Ohio, US",68,80,17.65
"Summit, Ohio, US",65,79,21.54
"Hamilton, Ohio, US",63,71,12.70
"Lorain, Ohio, US",56,65,16.07
"Lucas, Ohio, US",48,67,39.58
"Medina, Ohio, US",32,37,15.63
"Miami, Ohio, US",32,38,18.75
"Lake, Ohio, US",27,30,11.11
"Butler, Ohio, US",23,25,8.70
"Stark, Ohio, US",22,25,13.64
"Delaware, Ohio, US",20,26,30.00
"Montgomery, Ohio, US",19,20,5.26
"Trumbull, Ohio, US",17,27,58.82
"Portage, Ohio, US",13,19,46.15
"Warren, Ohio, US",11,16,45.45
"Geauga, Ohio, US",10,14,40.00
"Licking, Ohio, US",10,14,40.00
"Fairfield, Ohio, US",8,14,75.00
"Wood, Ohio, US",8,10,25.00
"Columbiana, Ohio, US",7,9,28.57
"Belmont, Ohio, US",6,8,33.33
"Clermont, Ohio, US",6,8,33.33
"Ashtabula, Ohio, US",5,6,20.00
"Defiance, Ohio, US",5,5,0.00
"Marion, Ohio, US",5,5,0.00
"Coshocton, Ohio, US",4,4,0.00
"Richland, Ohio, US",4,5,25.00
"Ashland, Ohio, US",3,3,0.00
"Carroll, Ohio, US",3,3,0.00
"Erie, Ohio, US",3,5,66.67
"Greene, Ohio, US",3,3,0.00
"Huron, Ohio, US",3,3,0.00
"Madison, Ohio, US",3,4,33.33
"Tuscarawas, Ohio, US",3,5,66.67
"Union, Ohio, US",3,3,0.00
"Wayne, Ohio, US",3,4,33.33
"Champaign, Ohio, US",2,2,0.00
"Clark, Ohio, US",2,2,0.00
"Clinton, Ohio, US",2,3,50.00
"Fulton, Ohio, US",2,2,0.00
"Hancock, Ohio, US",2,3,50.00
"Knox, Ohio, US",2,2,0.00
"Logan, Ohio, US",2,3,50.00
"Mercer, Ohio, US",2,2,0.00
"Muskingum, Ohio, US",2,2,0.00
"Pickaway, Ohio, US",2,4,100.00
"Washington, Ohio, US",2,2,0.00
"Athens, Ohio, US",1,2,100.00
"Crawford, Ohio, US",1,2,100.00
"Darke, Ohio, US",1,1,0.00
"Fayette, Ohio, US",1,1,0.00
"Gallia, Ohio, US",1,1,0.00
"Highland, Ohio, US",1,1,0.00
"Jefferson, Ohio, US",1,5,400.00
"Lawrence, Ohio, US",1,1,0.00
"Sandusky, Ohio, US",1,2,100.00
"Seneca, Ohio, US",1,1,0.00
"Shelby, Ohio, US",1,3,200.00
"Wyandot, Ohio, US",1,1,0.00
"Adams, Ohio, US",0,0,0.00
"Allen, Ohio, US",0,2,0.00
"Auglaize, Ohio, US",0,1,0.00
"Brown, Ohio, US",0,0,0.00
"Guernsey, Ohio, US",0,0,0.00
"Hardin, Ohio, US",0,0,0.00
"Harrison, Ohio, US",0,0,0.00
"Henry, Ohio, US",0,0,0.00
"Hocking, Ohio, US",0,0,0.00
"Holmes, Ohio, US",0,0,0.00
"Jackson, Ohio, US",0,0,0.00
"Meigs, Ohio, US",0,0,0.00
"Monroe, Ohio, US",0,0,0.00
"Morgan, Ohio, US",0,0,0.00
"Morrow, Ohio, US",0,0,0.00
"Noble, Ohio, US",0,0,0.00
"Ottawa, Ohio, US",0,1,0.00
"Out of OH, Ohio, US",0,0,0.00
"Paulding, Ohio, US",0,0,0.00
"Perry, Ohio, US",0,0,0.00
"Pike, Ohio, US",0,1,0.00
"Preble, Ohio, US",0,0,0.00
"Putnam, Ohio, US",0,0,0.00
"Ross, Ohio, US",0,0,0.00
"Scioto, Ohio, US",0,0,0.00
"Van Wert, Ohio, US",0,1,0.00
"Vinton, Ohio, US",0,0,0.00
"Williams, Ohio, US",0,0,0.00
