Location,4/2/20,4/3/20,delta
"Cuyahoga, Ohio, US",663,780,17.65
"Franklin, Ohio, US",441,503,14.06
"Lucas, Ohio, US",206,233,13.11
"Mahoning, Ohio, US",192,220,14.58
"Hamilton, Ohio, US",178,203,14.04
"Summit, Ohio, US",155,165,6.45
"Lorain, Ohio, US",90,95,5.56
"Medina, Ohio, US",68,79,16.18
"Stark, Ohio, US",67,72,7.46
"Trumbull, Ohio, US",63,72,14.29
"Lake, Ohio, US",62,65,4.84
"Miami, Ohio, US",62,66,6.45
"Portage, Ohio, US",59,64,8.47
"Delaware, Ohio, US",50,61,22.00
"Montgomery, Ohio, US",49,57,16.33
"Butler, Ohio, US",45,49,8.89
"Geauga, Ohio, US",33,41,24.24
"Licking, Ohio, US",30,35,16.67
"Fairfield, Ohio, US",28,32,14.29
"Warren, Ohio, US",26,31,19.23
"Columbiana, Ohio, US",22,26,18.18
"Darke, Ohio, US",22,28,27.27
"Wood, Ohio, US",18,20,11.11
"Tuscarawas, Ohio, US",16,18,12.50
"Clermont, Ohio, US",14,17,21.43
"Jefferson, Ohio, US",13,16,23.08
"Belmont, Ohio, US",12,14,16.67
"Madison, Ohio, US",11,13,18.18
"Pickaway, Ohio, US",11,13,18.18
"Wayne, Ohio, US",11,13,18.18
"Allen, Ohio, US",10,12,20.00
"Marion, Ohio, US",10,11,10.00
"Ashtabula, Ohio, US",8,9,12.50
"Coshocton, Ohio, US",8,10,25.00
"Greene, Ohio, US",8,9,12.50
"Hancock, Ohio, US",8,9,12.50
"Richland, Ohio, US",8,8,0.00
"Clark, Ohio, US",7,7,0.00
"Crawford, Ohio, US",6,7,16.67
"Defiance, Ohio, US",6,7,16.67
"Shelby, Ohio, US",6,7,16.67
"Carroll, Ohio, US",5,5,0.00
"Clinton, Ohio, US",5,6,20.00
"Erie, Ohio, US",5,6,20.00
"Knox, Ohio, US",5,5,0.00
"Mercer, Ohio, US",5,6,20.00
"Ottawa, Ohio, US",5,6,20.00
"Sandusky, Ohio, US",5,5,0.00
"Champaign, Ohio, US",4,5,25.00
"Huron, Ohio, US",4,5,25.00
"Seneca, Ohio, US",4,5,25.00
"Union, Ohio, US",4,4,0.00
"Washington, Ohio, US",4,4,0.00
"Ashland, Ohio, US",3,4,33.33
"Athens, Ohio, US",3,3,0.00
"Auglaize, Ohio, US",3,4,33.33
"Fulton, Ohio, US",3,4,33.33
"Gallia, Ohio, US",3,4,33.33
"Highland, Ohio, US",3,3,0.00
"Logan, Ohio, US",3,3,0.00
"Muskingum, Ohio, US",3,4,33.33
"Ross, Ohio, US",3,3,0.00
"Brown, Ohio, US",2,3,50.00
"Lawrence, Ohio, US",2,3,50.00
"Perry, Ohio, US",2,2,0.00
"Van Wert, Ohio, US",2,2,0.00
"Wyandot, Ohio, US",2,2,0.00
"Fayette, Ohio, US",1,1,0.00
"Guernsey, Ohio, US",1,1,0.00
"Hardin, Ohio, US",1,1,0.00
"Holmes, Ohio, US",1,2,100.00
"Morrow, Ohio, US",1,1,0.00
"Pike, Ohio, US",1,1,0.00
"Preble, Ohio, US",1,1,0.00
"Adams, Ohio, US",0,0,0.00
"Harrison, Ohio, US",0,0,0.00
"Henry, Ohio, US",0,0,0.00
"Hocking, Ohio, US",0,0,0.00
"Jackson, Ohio, US",0,0,0.00
"Meigs, Ohio, US",0,0,0.00
"Monroe, Ohio, US",0,0,0.00
"Morgan, Ohio, US",0,0,0.00
"Noble, Ohio, US",0,0,0.00
"Out of OH, Ohio, US",0,0,0.00
"Paulding, Ohio, US",0,0,0.00
"Putnam, Ohio, US",0,0,0.00
"Scioto, Ohio, US",0,0,0.00
"Vinton, Ohio, US",0,0,0.00
"Williams, Ohio, US",0,1,0.00
