Location,1/22/20,1/23/20,delta
"Adams, Ohio, US",0,0,0.00
"Allen, Ohio, US",0,0,0.00
"Ashland, Ohio, US",0,0,0.00
"Ashtabula, Ohio, US",0,0,0.00
"Athens, Ohio, US",0,0,0.00
"Auglaize, Ohio, US",0,0,0.00
"Belmont, Ohio, US",0,0,0.00
"Brown, Ohio, US",0,0,0.00
"Butler, Ohio, US",0,0,0.00
"Carroll, Ohio, US",0,0,0.00
"Champaign, Ohio, US",0,0,0.00
"Clark, Ohio, US",0,0,0.00
"Clermont, Ohio, US",0,0,0.00
"Clinton, Ohio, US",0,0,0.00
"Columbiana, Ohio, US",0,0,0.00
"Coshocton, Ohio, US",0,0,0.00
"Crawford, Ohio, US",0,0,0.00
"Cuyahoga, Ohio, US",0,0,0.00
"Darke, Ohio, US",0,0,0.00
"Defiance, Ohio, US",0,0,0.00
"Delaware, Ohio, US",0,0,0.00
"Erie, Ohio, US",0,0,0.00
"Fairfield, Ohio, US",0,0,0.00
"Fayette, Ohio, US",0,0,0.00
"Franklin, Ohio, US",0,0,0.00
"Fulton, Ohio, US",0,0,0.00
"Gallia, Ohio, US",0,0,0.00
"Geauga, Ohio, US",0,0,0.00
"Greene, Ohio, US",0,0,0.00
"Guernsey, Ohio, US",0,0,0.00
"Hamilton, Ohio, US",0,0,0.00
"Hancock, Ohio, US",0,0,0.00
"Hardin, Ohio, US",0,0,0.00
"Harrison, Ohio, US",0,0,0.00
"Henry, Ohio, US",0,0,0.00
"Highland, Ohio, US",0,0,0.00
"Hocking, Ohio, US",0,0,0.00
"Holmes, Ohio, US",0,0,0.00
"Huron, Ohio, US",0,0,0.00
"Jackson, Ohio, US",0,0,0.00
"Jefferson, Ohio, US",0,0,0.00
"Knox, Ohio, US",0,0,0.00
"Lake, Ohio, US",0,0,0.00
"Lawrence, Ohio, US",0,0,0.00
"Licking, Ohio, US",0,0,0.00
"Logan, Ohio, US",0,0,0.00
"Lorain, Ohio, US",0,0,0.00
"Lucas, Ohio, US",0,0,0.00
"Madison, Ohio, US",0,0,0.00
"Mahoning, Ohio, US",0,0,0.00
"Marion, Ohio, US",0,0,0.00
"Medina, Ohio, US",0,0,0.00
"Meigs, Ohio, US",0,0,0.00
"Mercer, Ohio, US",0,0,0.00
"Miami, Ohio, US",0,0,0.00
"Monroe, Ohio, US",0,0,0.00
"Montgomery, Ohio, US",0,0,0.00
"Morgan, Ohio, US",0,0,0.00
"Morrow, Ohio, US",0,0,0.00
"Muskingum, Ohio, US",0,0,0.00
"Noble, Ohio, US",0,0,0.00
"Ottawa, Ohio, US",0,0,0.00
"Out of OH, Ohio, US",0,0,0.00
"Paulding, Ohio, US",0,0,0.00
"Perry, Ohio, US",0,0,0.00
"Pickaway, Ohio, US",0,0,0.00
"Pike, Ohio, US",0,0,0.00
"Portage, Ohio, US",0,0,0.00
"Preble, Ohio, US",0,0,0.00
"Putnam, Ohio, US",0,0,0.00
"Richland, Ohio, US",0,0,0.00
"Ross, Ohio, US",0,0,0.00
"Sandusky, Ohio, US",0,0,0.00
"Scioto, Ohio, US",0,0,0.00
"Seneca, Ohio, US",0,0,0.00
"Shelby, Ohio, US",0,0,0.00
"Stark, Ohio, US",0,0,0.00
"Summit, Ohio, US",0,0,0.00
"Trumbull, Ohio, US",0,0,0.00
"Tuscarawas, Ohio, US",0,0,0.00
"Union, Ohio, US",0,0,0.00
"Van Wert, Ohio, US",0,0,0.00
"Vinton, Ohio, US",0,0,0.00
"Warren, Ohio, US",0,0,0.00
"Washington, Ohio, US",0,0,0.00
"Wayne, Ohio, US",0,0,0.00
"Williams, Ohio, US",0,0,0.00
"Wood, Ohio, US",0,0,0.00
"Wyandot, Ohio, US",0,0,0.00
