Location,4/6/20,4/7/20,delta
"Cuyahoga, Ohio, US",871,911,4.59
"Franklin, Ohio, US",644,703,9.16
"Hamilton, Ohio, US",394,411,4.31
"Lucas, Ohio, US",321,347,8.10
"Mahoning, Ohio, US",272,300,10.29
"Summit, Ohio, US",189,199,5.29
"Lorain, Ohio, US",117,116,-0.85
"Montgomery, Ohio, US",109,132,21.10
"Stark, Ohio, US",109,110,0.92
"Trumbull, Ohio, US",102,110,7.84
"Portage, Ohio, US",94,101,7.45
"Miami, Ohio, US",90,101,12.22
"Lake, Ohio, US",87,92,5.75
"Medina, Ohio, US",83,88,6.02
"Delaware, Ohio, US",77,77,0.00
"Butler, Ohio, US",75,92,22.67
"Licking, Ohio, US",57,61,7.02
"Fairfield, Ohio, US",54,59,9.26
"Columbiana, Ohio, US",53,59,11.32
"Geauga, Ohio, US",40,41,2.50
"Warren, Ohio, US",37,45,21.62
"Wood, Ohio, US",34,38,11.76
"Darke, Ohio, US",32,34,6.25
"Pickaway, Ohio, US",29,31,6.90
"Clermont, Ohio, US",27,22,-18.52
"Wayne, Ohio, US",26,29,11.54
"Marion, Ohio, US",25,28,12.00
"Tuscarawas, Ohio, US",23,23,0.00
"Belmont, Ohio, US",22,25,13.64
"Allen, Ohio, US",19,22,15.79
"Richland, Ohio, US",19,20,5.26
"Madison, Ohio, US",17,18,5.88
"Shelby, Ohio, US",17,18,5.88
"Ashtabula, Ohio, US",15,18,20.00
"Greene, Ohio, US",15,20,33.33
"Jefferson, Ohio, US",15,15,0.00
"Washington, Ohio, US",15,27,80.00
"Hancock, Ohio, US",14,15,7.14
"Clark, Ohio, US",10,11,10.00
"Coshocton, Ohio, US",10,10,0.00
"Erie, Ohio, US",10,10,0.00
"Lawrence, Ohio, US",10,9,-10.00
"Carroll, Ohio, US",9,9,0.00
"Crawford, Ohio, US",9,9,0.00
"Huron, Ohio, US",9,10,11.11
"Auglaize, Ohio, US",8,8,0.00
"Clinton, Ohio, US",8,9,12.50
"Defiance, Ohio, US",8,9,12.50
"Mercer, Ohio, US",8,8,0.00
"Union, Ohio, US",8,8,0.00
"Knox, Ohio, US",7,7,0.00
"Highland, Ohio, US",6,6,0.00
"Ross, Ohio, US",6,9,50.00
"Seneca, Ohio, US",6,6,0.00
"Champaign, Ohio, US",5,5,0.00
"Fulton, Ohio, US",5,5,0.00
"Logan, Ohio, US",5,5,0.00
"Morrow, Ohio, US",5,6,20.00
"Muskingum, Ohio, US",5,6,20.00
"Ottawa, Ohio, US",5,5,0.00
"Preble, Ohio, US",5,7,40.00
"Sandusky, Ohio, US",5,5,0.00
"Wyandot, Ohio, US",5,5,0.00
"Gallia, Ohio, US",4,4,0.00
"Perry, Ohio, US",4,4,0.00
"Ashland, Ohio, US",3,3,0.00
"Athens, Ohio, US",3,3,0.00
"Brown, Ohio, US",3,4,33.33
"Adams, Ohio, US",2,2,0.00
"Fayette, Ohio, US",2,2,0.00
"Guernsey, Ohio, US",2,1,-50.00
"Hardin, Ohio, US",2,2,0.00
"Holmes, Ohio, US",2,2,0.00
"Monroe, Ohio, US",2,2,0.00
"Van Wert, Ohio, US",2,2,0.00
"Morgan, Ohio, US",1,1,0.00
"Paulding, Ohio, US",1,1,0.00
"Pike, Ohio, US",1,1,0.00
"Putnam, Ohio, US",1,0,-100.00
"Scioto, Ohio, US",1,1,0.00
"Williams, Ohio, US",1,1,0.00
"Harrison, Ohio, US",0,0,0.00
"Henry, Ohio, US",0,0,0.00
"Hocking, Ohio, US",0,0,0.00
"Jackson, Ohio, US",0,0,0.00
"Meigs, Ohio, US",0,1,0.00
"Noble, Ohio, US",0,0,0.00
"Out of OH, Ohio, US",0,0,0.00
"Vinton, Ohio, US",0,0,0.00
