Location,3/25/20,3/26/20,delta
"Oklahoma, Oklahoma, US",55,73,32.73
"Cleveland, Oklahoma, US",27,39,44.44
"Tulsa, Oklahoma, US",27,41,51.85
"Pawnee, Oklahoma, US",7,10,42.86
"Canadian, Oklahoma, US",5,6,20.00
"Creek, Oklahoma, US",5,10,100.00
"Kay, Oklahoma, US",5,11,120.00
"Custer, Oklahoma, US",3,3,0.00
"Logan, Oklahoma, US",3,3,0.00
"Payne, Oklahoma, US",3,5,66.67
"Wagoner, Oklahoma, US",3,6,100.00
"Washington, Oklahoma, US",3,5,66.67
"Adair, Oklahoma, US",2,2,0.00
"Garvin, Oklahoma, US",2,2,0.00
"Noble, Oklahoma, US",2,2,0.00
"Bryan, Oklahoma, US",1,1,0.00
"Carter, Oklahoma, US",1,1,0.00
"Delaware, Oklahoma, US",1,1,0.00
"Grady, Oklahoma, US",1,2,100.00
"Jackson, Oklahoma, US",1,1,0.00
"Mayes, Oklahoma, US",1,2,100.00
"McClain, Oklahoma, US",1,2,100.00
"Muskogee, Oklahoma, US",1,4,300.00
"Osage, Oklahoma, US",1,3,200.00
"Pontotoc, Oklahoma, US",1,1,0.00
"Pottawatomie, Oklahoma, US",1,2,100.00
"Stephens, Oklahoma, US",1,1,0.00
"Alfalfa, Oklahoma, US",0,0,0.00
"Atoka, Oklahoma, US",0,0,0.00
"Beaver, Oklahoma, US",0,0,0.00
"Beckham, Oklahoma, US",0,0,0.00
"Blaine, Oklahoma, US",0,0,0.00
"Caddo, Oklahoma, US",0,0,0.00
"Cherokee, Oklahoma, US",0,0,0.00
"Choctaw, Oklahoma, US",0,0,0.00
"Cimarron, Oklahoma, US",0,0,0.00
"Coal, Oklahoma, US",0,0,0.00
"Comanche, Oklahoma, US",0,3,0.00
"Cotton, Oklahoma, US",0,0,0.00
"Craig, Oklahoma, US",0,1,0.00
"Dewey, Oklahoma, US",0,0,0.00
"Ellis, Oklahoma, US",0,0,0.00
"Garfield, Oklahoma, US",0,0,0.00
"Grant, Oklahoma, US",0,0,0.00
"Greer, Oklahoma, US",0,0,0.00
"Harmon, Oklahoma, US",0,0,0.00
"Harper, Oklahoma, US",0,0,0.00
"Haskell, Oklahoma, US",0,0,0.00
"Hughes, Oklahoma, US",0,0,0.00
"Jefferson, Oklahoma, US",0,0,0.00
"Johnston, Oklahoma, US",0,0,0.00
"Kingfisher, Oklahoma, US",0,0,0.00
"Kiowa, Oklahoma, US",0,0,0.00
"Latimer, Oklahoma, US",0,0,0.00
"Le Flore, Oklahoma, US",0,0,0.00
"Lincoln, Oklahoma, US",0,1,0.00
"Love, Oklahoma, US",0,0,0.00
"Major, Oklahoma, US",0,0,0.00
"Marshall, Oklahoma, US",0,0,0.00
"McCurtain, Oklahoma, US",0,0,0.00
"McIntosh, Oklahoma, US",0,0,0.00
"Murray, Oklahoma, US",0,0,0.00
"Nowata, Oklahoma, US",0,0,0.00
"Okfuskee, Oklahoma, US",0,0,0.00
"Okmulgee, Oklahoma, US",0,2,0.00
"Ottawa, Oklahoma, US",0,1,0.00
"Out of OK, Oklahoma, US",0,0,0.00
"Pittsburg, Oklahoma, US",0,0,0.00
"Pushmataha, Oklahoma, US",0,0,0.00
"Roger Mills, Oklahoma, US",0,0,0.00
"Rogers, Oklahoma, US",0,0,0.00
"Seminole, Oklahoma, US",0,0,0.00
"Sequoyah, Oklahoma, US",0,1,0.00
"Texas, Oklahoma, US",0,0,0.00
"Tillman, Oklahoma, US",0,0,0.00
"Washita, Oklahoma, US",0,0,0.00
"Woods, Oklahoma, US",0,0,0.00
"Woodward, Oklahoma, US",0,0,0.00
