Location,7/13/20,7/14/20,delta
"Tulsa, Oklahoma, US",5267,5448,3.44
"Oklahoma, Oklahoma, US",4986,5259,5.48
"Cleveland, Oklahoma, US",1348,1448,7.42
"Texas, Oklahoma, US",1006,1006,0.00
"McCurtain, Oklahoma, US",622,631,1.45
"Canadian, Oklahoma, US",519,543,4.62
"Comanche, Oklahoma, US",502,517,2.99
"Payne, Oklahoma, US",481,484,0.62
"Washington, Oklahoma, US",449,465,3.56
"Wagoner, Oklahoma, US",376,400,6.38
"Rogers, Oklahoma, US",342,359,4.97
"Delaware, Oklahoma, US",244,261,6.97
"Grady, Oklahoma, US",241,254,5.39
"McClain, Oklahoma, US",241,261,8.30
"Osage, Oklahoma, US",218,221,1.38
"Creek, Oklahoma, US",217,223,2.76
"Caddo, Oklahoma, US",208,210,0.96
"Muskogee, Oklahoma, US",200,216,8.00
"Bryan, Oklahoma, US",184,190,3.26
"Carter, Oklahoma, US",182,186,2.20
"Pottawatomie, Oklahoma, US",159,172,8.18
"Okmulgee, Oklahoma, US",157,186,18.47
"Ottawa, Oklahoma, US",157,183,16.56
"Adair, Oklahoma, US",137,144,5.11
"Choctaw, Oklahoma, US",126,128,1.59
"Kay, Oklahoma, US",126,129,2.38
"Garvin, Oklahoma, US",123,133,8.13
"Mayes, Oklahoma, US",122,139,13.93
"Cherokee, Oklahoma, US",121,131,8.26
"Garfield, Oklahoma, US",108,132,22.22
"Logan, Oklahoma, US",98,101,3.06
"McIntosh, Oklahoma, US",87,88,1.15
"Stephens, Oklahoma, US",83,89,7.23
"Custer, Oklahoma, US",78,85,8.97
"Pittsburg, Oklahoma, US",76,81,6.58
"Pontotoc, Oklahoma, US",72,82,13.89
"Seminole, Oklahoma, US",72,78,8.33
"Pawnee, Oklahoma, US",71,73,2.82
"Greer, Oklahoma, US",68,69,1.47
"Sequoyah, Oklahoma, US",65,70,7.69
"Le Flore, Oklahoma, US",61,63,3.28
"Jackson, Oklahoma, US",57,72,26.32
"Noble, Oklahoma, US",53,53,0.00
"Kingfisher, Oklahoma, US",46,50,8.70
"Lincoln, Oklahoma, US",46,47,2.17
"Love, Oklahoma, US",46,48,4.35
"Marshall, Oklahoma, US",43,47,9.30
"Nowata, Oklahoma, US",38,39,2.63
"Atoka, Oklahoma, US",34,42,23.53
"Beaver, Oklahoma, US",32,32,0.00
"Craig, Oklahoma, US",27,27,0.00
"Tillman, Oklahoma, US",26,26,0.00
"Murray, Oklahoma, US",25,25,0.00
"Pushmataha, Oklahoma, US",25,31,24.00
"Beckham, Oklahoma, US",22,22,0.00
"Blaine, Oklahoma, US",22,22,0.00
"Latimer, Oklahoma, US",20,22,10.00
"Okfuskee, Oklahoma, US",19,20,5.26
"Jefferson, Oklahoma, US",17,18,5.88
"Johnston, Oklahoma, US",17,18,5.88
"Kiowa, Oklahoma, US",17,17,0.00
"Haskell, Oklahoma, US",16,17,6.25
"Woodward, Oklahoma, US",15,15,0.00
"Hughes, Oklahoma, US",14,15,7.14
"Major, Oklahoma, US",14,15,7.14
"Coal, Oklahoma, US",11,12,9.09
"Cotton, Oklahoma, US",11,12,9.09
"Woods, Oklahoma, US",9,11,22.22
"Washita, Oklahoma, US",8,10,25.00
"Dewey, Oklahoma, US",4,4,0.00
"Grant, Oklahoma, US",3,3,0.00
"Harmon, Oklahoma, US",3,3,0.00
"Ellis, Oklahoma, US",2,2,0.00
"Alfalfa, Oklahoma, US",1,1,0.00
"Cimarron, Oklahoma, US",1,1,0.00
"Harper, Oklahoma, US",1,2,100.00
"Roger Mills, Oklahoma, US",1,1,0.00
"Out of OK, Oklahoma, US",0,0,0.00
