Location,5/13/20,5/14/20,delta
"Oklahoma, Oklahoma, US",1007,1013,0.60
"Tulsa, Oklahoma, US",734,743,1.23
"Texas, Oklahoma, US",474,541,14.14
"Cleveland, Oklahoma, US",458,458,0.00
"Washington, Oklahoma, US",300,301,0.33
"Comanche, Oklahoma, US",184,197,7.07
"Wagoner, Oklahoma, US",131,131,0.00
"Canadian, Oklahoma, US",115,116,0.87
"Caddo, Oklahoma, US",110,110,0.00
"Delaware, Oklahoma, US",94,93,-1.06
"Osage, Oklahoma, US",90,90,0.00
"McClain, Oklahoma, US",86,86,0.00
"Creek, Oklahoma, US",83,83,0.00
"Adair, Oklahoma, US",74,74,0.00
"Rogers, Oklahoma, US",72,72,0.00
"Greer, Oklahoma, US",66,66,0.00
"Pottawatomie, Oklahoma, US",55,55,0.00
"Grady, Oklahoma, US",54,58,7.41
"Kay, Oklahoma, US",49,49,0.00
"Payne, Oklahoma, US",44,44,0.00
"Pittsburg, Oklahoma, US",39,39,0.00
"Ottawa, Oklahoma, US",34,34,0.00
"Cherokee, Oklahoma, US",30,29,-3.33
"Muskogee, Oklahoma, US",29,30,3.45
"Pawnee, Oklahoma, US",29,29,0.00
"Mayes, Oklahoma, US",26,26,0.00
"Nowata, Oklahoma, US",23,23,0.00
"Garfield, Oklahoma, US",22,22,0.00
"Stephens, Oklahoma, US",22,22,0.00
"Seminole, Oklahoma, US",21,21,0.00
"Beaver, Oklahoma, US",20,20,0.00
"Jackson, Oklahoma, US",20,21,5.00
"Tillman, Oklahoma, US",20,21,5.00
"Logan, Oklahoma, US",18,18,0.00
"Lincoln, Oklahoma, US",17,17,0.00
"Okmulgee, Oklahoma, US",16,16,0.00
"Garvin, Oklahoma, US",15,15,0.00
"Sequoyah, Oklahoma, US",14,14,0.00
"Le Flore, Oklahoma, US",13,14,7.69
"Bryan, Oklahoma, US",12,12,0.00
"Craig, Oklahoma, US",12,13,8.33
"Custer, Oklahoma, US",12,12,0.00
"Kingfisher, Oklahoma, US",10,10,0.00
"Pontotoc, Oklahoma, US",10,10,0.00
"McCurtain, Oklahoma, US",8,9,12.50
"Noble, Oklahoma, US",7,7,0.00
"Beckham, Oklahoma, US",6,6,0.00
"Carter, Oklahoma, US",6,7,16.67
"Kiowa, Oklahoma, US",6,6,0.00
"Major, Oklahoma, US",6,6,0.00
"Cotton, Oklahoma, US",5,5,0.00
"Haskell, Oklahoma, US",5,5,0.00
"Latimer, Oklahoma, US",5,5,0.00
"McIntosh, Oklahoma, US",5,5,0.00
"Choctaw, Oklahoma, US",3,3,0.00
"Jefferson, Oklahoma, US",3,3,0.00
"Johnston, Oklahoma, US",3,3,0.00
"Love, Oklahoma, US",3,3,0.00
"Woods, Oklahoma, US",3,3,0.00
"Atoka, Oklahoma, US",2,1,-50.00
"Blaine, Oklahoma, US",2,1,-50.00
"Dewey, Oklahoma, US",2,2,0.00
"Grant, Oklahoma, US",2,2,0.00
"Marshall, Oklahoma, US",2,2,0.00
"Murray, Oklahoma, US",2,2,0.00
"Okfuskee, Oklahoma, US",2,2,0.00
"Alfalfa, Oklahoma, US",1,1,0.00
"Cimarron, Oklahoma, US",1,1,0.00
"Harper, Oklahoma, US",1,1,0.00
"Pushmataha, Oklahoma, US",1,1,0.00
"Woodward, Oklahoma, US",1,1,0.00
"Coal, Oklahoma, US",0,0,0.00
"Ellis, Oklahoma, US",0,0,0.00
"Harmon, Oklahoma, US",0,0,0.00
"Hughes, Oklahoma, US",0,0,0.00
"Out of OK, Oklahoma, US",0,0,0.00
"Roger Mills, Oklahoma, US",0,0,0.00
"Washita, Oklahoma, US",0,1,0.00
