Location,5/2/20,5/3/20,delta
"Oklahoma, Oklahoma, US",822,838,1.95
"Tulsa, Oklahoma, US",607,628,3.46
"Cleveland, Oklahoma, US",430,432,0.47
"Washington, Oklahoma, US",268,273,1.87
"Texas, Oklahoma, US",172,201,16.86
"Wagoner, Oklahoma, US",122,122,0.00
"Canadian, Oklahoma, US",98,100,2.04
"Delaware, Oklahoma, US",91,91,0.00
"Comanche, Oklahoma, US",84,98,16.67
"Creek, Oklahoma, US",80,80,0.00
"Osage, Oklahoma, US",76,76,0.00
"McClain, Oklahoma, US",74,77,4.05
"Adair, Oklahoma, US",65,65,0.00
"Greer, Oklahoma, US",65,65,0.00
"Rogers, Oklahoma, US",65,66,1.54
"Caddo, Oklahoma, US",64,69,7.81
"Pottawatomie, Oklahoma, US",51,52,1.96
"Kay, Oklahoma, US",47,47,0.00
"Payne, Oklahoma, US",44,44,0.00
"Grady, Oklahoma, US",38,39,2.63
"Pittsburg, Oklahoma, US",35,39,11.43
"Ottawa, Oklahoma, US",34,34,0.00
"Pawnee, Oklahoma, US",29,29,0.00
"Cherokee, Oklahoma, US",27,27,0.00
"Muskogee, Oklahoma, US",27,27,0.00
"Mayes, Oklahoma, US",24,24,0.00
"Stephens, Oklahoma, US",22,22,0.00
"Nowata, Oklahoma, US",21,21,0.00
"Garfield, Oklahoma, US",18,19,5.56
"Jackson, Oklahoma, US",16,17,6.25
"Logan, Oklahoma, US",16,16,0.00
"Okmulgee, Oklahoma, US",16,16,0.00
"Garvin, Oklahoma, US",14,14,0.00
"Lincoln, Oklahoma, US",14,14,0.00
"Beaver, Oklahoma, US",13,14,7.69
"Le Flore, Oklahoma, US",13,13,0.00
"Seminole, Oklahoma, US",12,12,0.00
"Sequoyah, Oklahoma, US",12,12,0.00
"Craig, Oklahoma, US",11,11,0.00
"Custer, Oklahoma, US",10,11,10.00
"Pontotoc, Oklahoma, US",10,10,0.00
"Bryan, Oklahoma, US",9,9,0.00
"Kingfisher, Oklahoma, US",8,8,0.00
"McCurtain, Oklahoma, US",8,8,0.00
"Noble, Oklahoma, US",6,6,0.00
"Beckham, Oklahoma, US",5,5,0.00
"Cotton, Oklahoma, US",5,5,0.00
"Haskell, Oklahoma, US",5,5,0.00
"Kiowa, Oklahoma, US",5,5,0.00
"Latimer, Oklahoma, US",5,5,0.00
"Carter, Oklahoma, US",3,4,33.33
"Choctaw, Oklahoma, US",3,3,0.00
"Johnston, Oklahoma, US",3,3,0.00
"Major, Oklahoma, US",3,3,0.00
"Woods, Oklahoma, US",3,3,0.00
"Dewey, Oklahoma, US",2,2,0.00
"Grant, Oklahoma, US",2,2,0.00
"Jefferson, Oklahoma, US",2,2,0.00
"Love, Oklahoma, US",2,2,0.00
"Marshall, Oklahoma, US",2,2,0.00
"McIntosh, Oklahoma, US",2,2,0.00
"Murray, Oklahoma, US",2,2,0.00
"Tillman, Oklahoma, US",2,14,600.00
"Alfalfa, Oklahoma, US",1,1,0.00
"Atoka, Oklahoma, US",1,1,0.00
"Cimarron, Oklahoma, US",1,1,0.00
"Harper, Oklahoma, US",1,1,0.00
"Okfuskee, Oklahoma, US",1,1,0.00
"Pushmataha, Oklahoma, US",1,1,0.00
"Woodward, Oklahoma, US",1,1,0.00
"Blaine, Oklahoma, US",0,0,0.00
"Coal, Oklahoma, US",0,0,0.00
"Ellis, Oklahoma, US",0,0,0.00
"Harmon, Oklahoma, US",0,0,0.00
"Hughes, Oklahoma, US",0,0,0.00
"Out of OK, Oklahoma, US",0,0,0.00
"Roger Mills, Oklahoma, US",0,0,0.00
"Washita, Oklahoma, US",0,0,0.00
