Location,7/2/20,7/3/20,delta
"Multnomah, Oregon, US",2301,2361,2.61
"Marion, Oregon, US",1564,1595,1.98
"Washington, Oregon, US",1446,1491,3.11
"Clackamas, Oregon, US",773,795,2.85
"Umatilla, Oregon, US",620,667,7.58
"Union, Oregon, US",347,355,2.31
"Lincoln, Oregon, US",327,345,5.50
"Deschutes, Oregon, US",192,201,4.69
"Lane, Oregon, US",180,196,8.89
"Linn, Oregon, US",154,156,1.30
"Polk, Oregon, US",149,154,3.36
"Malheur, Oregon, US",140,160,14.29
"Jackson, Oregon, US",131,140,6.87
"Yamhill, Oregon, US",131,132,0.76
"Jefferson, Oregon, US",126,131,3.97
"Klamath, Oregon, US",123,125,1.63
"Hood River, Oregon, US",88,88,0.00
"Benton, Oregon, US",83,91,9.64
"Wasco, Oregon, US",75,85,13.33
"Morrow, Oregon, US",72,82,13.89
"Clatsop, Oregon, US",49,49,0.00
"Douglas, Oregon, US",44,45,2.27
"Coos, Oregon, US",41,42,2.44
"Josephine, Oregon, US",41,44,7.32
"Columbia, Oregon, US",31,35,12.90
"Lake, Oregon, US",19,20,5.26
"Tillamook, Oregon, US",12,13,8.33
"Crook, Oregon, US",11,12,9.09
"Wallowa, Oregon, US",10,10,0.00
"Curry, Oregon, US",7,8,14.29
"Baker, Oregon, US",4,4,0.00
"Grant, Oregon, US",1,1,0.00
"Harney, Oregon, US",1,1,0.00
"Sherman, Oregon, US",1,2,100.00
"Gilliam, Oregon, US",0,0,0.00
"Out of OR, Oregon, US",0,0,0.00
"Wheeler, Oregon, US",0,0,0.00
