Location,1/22/20,1/23/20,delta
"Baker, Oregon, US",0,0,0.00
"Benton, Oregon, US",0,0,0.00
"Clackamas, Oregon, US",0,0,0.00
"Clatsop, Oregon, US",0,0,0.00
"Columbia, Oregon, US",0,0,0.00
"Coos, Oregon, US",0,0,0.00
"Crook, Oregon, US",0,0,0.00
"Curry, Oregon, US",0,0,0.00
"Deschutes, Oregon, US",0,0,0.00
"Douglas, Oregon, US",0,0,0.00
"Gilliam, Oregon, US",0,0,0.00
"Grant, Oregon, US",0,0,0.00
"Harney, Oregon, US",0,0,0.00
"Hood River, Oregon, US",0,0,0.00
"Jackson, Oregon, US",0,0,0.00
"Jefferson, Oregon, US",0,0,0.00
"Josephine, Oregon, US",0,0,0.00
"Klamath, Oregon, US",0,0,0.00
"Lake, Oregon, US",0,0,0.00
"Lane, Oregon, US",0,0,0.00
"Lincoln, Oregon, US",0,0,0.00
"Linn, Oregon, US",0,0,0.00
"Malheur, Oregon, US",0,0,0.00
"Marion, Oregon, US",0,0,0.00
"Morrow, Oregon, US",0,0,0.00
"Multnomah, Oregon, US",0,0,0.00
"Out of OR, Oregon, US",0,0,0.00
"Polk, Oregon, US",0,0,0.00
"Sherman, Oregon, US",0,0,0.00
"Tillamook, Oregon, US",0,0,0.00
"Umatilla, Oregon, US",0,0,0.00
"Union, Oregon, US",0,0,0.00
"Wallowa, Oregon, US",0,0,0.00
"Wasco, Oregon, US",0,0,0.00
"Washington, Oregon, US",0,0,0.00
"Wheeler, Oregon, US",0,0,0.00
"Yamhill, Oregon, US",0,0,0.00
