Location,5/15/20,5/16/20,delta
"Multnomah, Oregon, US",957,979,2.30
"Marion, Oregon, US",797,824,3.39
"Washington, Oregon, US",620,628,1.29
"Clackamas, Oregon, US",277,281,1.44
"Linn, Oregon, US",109,110,0.92
"Deschutes, Oregon, US",94,95,1.06
"Polk, Oregon, US",92,92,0.00
"Umatilla, Oregon, US",91,93,2.20
"Lane, Oregon, US",61,64,4.92
"Yamhill, Oregon, US",55,57,3.64
"Benton, Oregon, US",51,51,0.00
"Jackson, Oregon, US",50,50,0.00
"Klamath, Oregon, US",41,41,0.00
"Clatsop, Oregon, US",36,37,2.78
"Coos, Oregon, US",30,30,0.00
"Douglas, Oregon, US",25,24,-4.00
"Josephine, Oregon, US",25,25,0.00
"Jefferson, Oregon, US",24,24,0.00
"Malheur, Oregon, US",17,19,11.76
"Columbia, Oregon, US",16,16,0.00
"Wasco, Oregon, US",16,18,12.50
"Hood River, Oregon, US",14,14,0.00
"Morrow, Oregon, US",12,12,0.00
"Lincoln, Oregon, US",7,7,0.00
"Tillamook, Oregon, US",6,6,0.00
"Union, Oregon, US",5,5,0.00
"Curry, Oregon, US",4,4,0.00
"Baker, Oregon, US",3,1,-66.67
"Wallowa, Oregon, US",2,1,-50.00
"Crook, Oregon, US",1,1,0.00
"Grant, Oregon, US",1,1,0.00
"Harney, Oregon, US",1,1,0.00
"Sherman, Oregon, US",1,1,0.00
"Gilliam, Oregon, US",0,0,0.00
"Lake, Oregon, US",0,0,0.00
"Out of OR, Oregon, US",0,0,0.00
"Wheeler, Oregon, US",0,0,0.00
