"Philadelphia, Pennsylvania, US",175,252,44.00
"Montgomery, Pennsylvania, US",136,159,16.91
"Delaware, Pennsylvania, US",54,84,55.56
"Allegheny, Pennsylvania, US",48,58,20.83
"Bucks, Pennsylvania, US",43,69,60.47
"Monroe, Pennsylvania, US",43,45,4.65
"Chester, Pennsylvania, US",40,40,0.00
"Lehigh, Pennsylvania, US",25,27,8.00
"Northampton, Pennsylvania, US",23,33,43.48
"Berks, Pennsylvania, US",14,16,14.29
"Cumberland, Pennsylvania, US",12,13,8.33
"Luzerne, Pennsylvania, US",10,21,110.00
"York, Pennsylvania, US",10,18,80.00
"Lackawanna, Pennsylvania, US",7,15,114.29
"Washington, Pennsylvania, US",7,9,28.57
"Adams, Pennsylvania, US",6,6,0.00
"Westmoreland, Pennsylvania, US",6,11,83.33
"Butler, Pennsylvania, US",5,6,20.00
"Lancaster, Pennsylvania, US",5,10,100.00
"Beaver, Pennsylvania, US",3,3,0.00
"Centre, Pennsylvania, US",3,7,133.33
"Erie, Pennsylvania, US",3,5,66.67
"Lebanon, Pennsylvania, US",3,3,0.00
"Pike, Pennsylvania, US",3,4,33.33
"Schuylkill, Pennsylvania, US",3,5,66.67
"Wayne, Pennsylvania, US",3,4,33.33
"Cambria, Pennsylvania, US",1,1,0.00
"Columbia, Pennsylvania, US",1,1,0.00
"Dauphin, Pennsylvania, US",1,4,300.00
"Fayette, Pennsylvania, US",1,2,100.00
"Franklin, Pennsylvania, US",1,3,200.00
"Mercer, Pennsylvania, US",1,2,100.00
"Montour, Pennsylvania, US",1,3,200.00
"Potter, Pennsylvania, US",1,1,0.00
"Armstrong, Pennsylvania, US",0,1,0.00
"Bedford, Pennsylvania, US",0,0,0.00
"Blair, Pennsylvania, US",0,0,0.00
"Bradford, Pennsylvania, US",0,1,0.00
"Cameron, Pennsylvania, US",0,0,0.00
"Carbon, Pennsylvania, US",0,1,0.00
"Clarion, Pennsylvania, US",0,0,0.00
"Clearfield, Pennsylvania, US",0,1,0.00
"Clinton, Pennsylvania, US",0,0,0.00
"Crawford, Pennsylvania, US",0,0,0.00
"Elk, Pennsylvania, US",0,0,0.00
"Forest, Pennsylvania, US",0,0,0.00
"Fulton, Pennsylvania, US",0,0,0.00
"Greene, Pennsylvania, US",0,0,0.00
"Huntingdon, Pennsylvania, US",0,0,0.00
"Indiana, Pennsylvania, US",0,0,0.00
"Jefferson, Pennsylvania, US",0,0,0.00
"Juniata, Pennsylvania, US",0,1,0.00
"Lawrence, Pennsylvania, US",0,0,0.00
"Lycoming, Pennsylvania, US",0,0,0.00
"McKean,Pennsylvania,US",0,0,0.00
"Mifflin, Pennsylvania, US",0,0,0.00
"Northumberland, Pennsylvania, US",0,0,0.00
"Out of PA, Pennsylvania, US",0,0,0.00
"Perry, Pennsylvania, US",0,0,0.00
"Snyder, Pennsylvania, US",0,0,0.00
"Somerset, Pennsylvania, US",0,1,0.00
"Sullivan, Pennsylvania, US",0,0,0.00
"Susquehanna, Pennsylvania, US",0,0,0.00
"Tioga, Pennsylvania, US",0,0,0.00
"Union, Pennsylvania, US",0,0,0.00
"Venango, Pennsylvania, US",0,0,0.00
"Warren, Pennsylvania, US",0,0,0.00
"Wyoming, Pennsylvania, US",0,0,0.00
