Location,4/3/20,4/4/20,delta
"Philadelphia, Pennsylvania, US",2430,3008,23.79
"Montgomery, Pennsylvania, US",875,982,12.23
"Lehigh, Pennsylvania, US",584,804,37.67
"Delaware, Pennsylvania, US",542,616,13.65
"Luzerne, Pennsylvania, US",484,648,33.88
"Allegheny, Pennsylvania, US",476,552,15.97
"Northampton, Pennsylvania, US",466,588,26.18
"Bucks, Pennsylvania, US",450,517,14.89
"Monroe, Pennsylvania, US",397,484,21.91
"Lancaster, Pennsylvania, US",232,291,25.43
"Chester, Pennsylvania, US",226,250,10.62
"Berks, Pennsylvania, US",201,235,16.92
"York, Pennsylvania, US",121,144,19.01
"Lackawanna, Pennsylvania, US",119,146,22.69
"Westmoreland, Pennsylvania, US",110,135,22.73
"Pike, Pennsylvania, US",83,97,16.87
"Dauphin, Pennsylvania, US",79,99,25.32
"Butler, Pennsylvania, US",75,84,12.00
"Beaver, Pennsylvania, US",65,69,6.15
"Schuylkill, Pennsylvania, US",63,77,22.22
"Lebanon, Pennsylvania, US",54,87,61.11
"Cumberland, Pennsylvania, US",45,54,20.00
"Washington, Pennsylvania, US",40,46,15.00
"Carbon, Pennsylvania, US",34,46,35.29
"Centre, Pennsylvania, US",32,39,21.88
"Franklin, Pennsylvania, US",26,27,3.85
"Wayne, Pennsylvania, US",23,28,21.74
"Fayette, Pennsylvania, US",20,23,15.00
"Adams, Pennsylvania, US",19,21,10.53
"Lawrence, Pennsylvania, US",19,22,15.79
"Erie, Pennsylvania, US",17,19,11.76
"Montour, Pennsylvania, US",16,19,18.75
"Columbia, Pennsylvania, US",15,20,33.33
"Armstrong, Pennsylvania, US",11,12,9.09
"Greene, Pennsylvania, US",11,12,9.09
"Mercer, Pennsylvania, US",10,14,40.00
"Bradford, Pennsylvania, US",9,10,11.11
"Lycoming, Pennsylvania, US",8,10,25.00
"Northumberland, Pennsylvania, US",8,9,12.50
"Indiana, Pennsylvania, US",7,9,28.57
"Clearfield, Pennsylvania, US",5,7,40.00
"Crawford, Pennsylvania, US",5,5,0.00
"Juniata, Pennsylvania, US",5,7,40.00
"Blair, Pennsylvania, US",4,5,25.00
"Cambria, Pennsylvania, US",4,6,50.00
"Clarion, Pennsylvania, US",4,4,0.00
"Perry, Pennsylvania, US",4,5,25.00
"Snyder, Pennsylvania, US",4,6,50.00
"Susquehanna, Pennsylvania, US",4,5,25.00
"Bedford, Pennsylvania, US",3,4,33.33
"Huntingdon, Pennsylvania, US",3,4,33.33
"Somerset, Pennsylvania, US",3,3,0.00
"Tioga, Pennsylvania, US",3,3,0.00
"Union, Pennsylvania, US",3,5,66.67
"Venango, Pennsylvania, US",3,3,0.00
"Mifflin, Pennsylvania, US",2,4,100.00
"Potter, Pennsylvania, US",2,3,50.00
"Wyoming, Pennsylvania, US",2,5,150.00
"Cameron, Pennsylvania, US",1,1,0.00
"Clinton, Pennsylvania, US",1,1,0.00
"Forest, Pennsylvania, US",1,2,100.00
"McKean,Pennsylvania,US",1,1,0.00
"Warren, Pennsylvania, US",1,1,0.00
"Elk, Pennsylvania, US",0,0,0.00
"Fulton, Pennsylvania, US",0,0,0.00
"Jefferson, Pennsylvania, US",0,0,0.00
"Out of PA, Pennsylvania, US",0,0,0.00
"Sullivan, Pennsylvania, US",0,1,0.00
