Location,1/22/20,1/23/20,delta
"Adams, Pennsylvania, US",0,0,0.00
"Allegheny, Pennsylvania, US",0,0,0.00
"Armstrong, Pennsylvania, US",0,0,0.00
"Beaver, Pennsylvania, US",0,0,0.00
"Bedford, Pennsylvania, US",0,0,0.00
"Berks, Pennsylvania, US",0,0,0.00
"Blair, Pennsylvania, US",0,0,0.00
"Bradford, Pennsylvania, US",0,0,0.00
"Bucks, Pennsylvania, US",0,0,0.00
"Butler, Pennsylvania, US",0,0,0.00
"Cambria, Pennsylvania, US",0,0,0.00
"Cameron, Pennsylvania, US",0,0,0.00
"Carbon, Pennsylvania, US",0,0,0.00
"Centre, Pennsylvania, US",0,0,0.00
"Chester, Pennsylvania, US",0,0,0.00
"Clarion, Pennsylvania, US",0,0,0.00
"Clearfield, Pennsylvania, US",0,0,0.00
"Clinton, Pennsylvania, US",0,0,0.00
"Columbia, Pennsylvania, US",0,0,0.00
"Crawford, Pennsylvania, US",0,0,0.00
"Cumberland, Pennsylvania, US",0,0,0.00
"Dauphin, Pennsylvania, US",0,0,0.00
"Delaware, Pennsylvania, US",0,0,0.00
"Elk, Pennsylvania, US",0,0,0.00
"Erie, Pennsylvania, US",0,0,0.00
"Fayette, Pennsylvania, US",0,0,0.00
"Forest, Pennsylvania, US",0,0,0.00
"Franklin, Pennsylvania, US",0,0,0.00
"Fulton, Pennsylvania, US",0,0,0.00
"Greene, Pennsylvania, US",0,0,0.00
"Huntingdon, Pennsylvania, US",0,0,0.00
"Indiana, Pennsylvania, US",0,0,0.00
"Jefferson, Pennsylvania, US",0,0,0.00
"Juniata, Pennsylvania, US",0,0,0.00
"Lackawanna, Pennsylvania, US",0,0,0.00
"Lancaster, Pennsylvania, US",0,0,0.00
"Lawrence, Pennsylvania, US",0,0,0.00
"Lebanon, Pennsylvania, US",0,0,0.00
"Lehigh, Pennsylvania, US",0,0,0.00
"Luzerne, Pennsylvania, US",0,0,0.00
"Lycoming, Pennsylvania, US",0,0,0.00
"McKean,Pennsylvania,US",0,0,0.00
"Mercer, Pennsylvania, US",0,0,0.00
"Mifflin, Pennsylvania, US",0,0,0.00
"Monroe, Pennsylvania, US",0,0,0.00
"Montgomery, Pennsylvania, US",0,0,0.00
"Montour, Pennsylvania, US",0,0,0.00
"Northampton, Pennsylvania, US",0,0,0.00
"Northumberland, Pennsylvania, US",0,0,0.00
"Out of PA, Pennsylvania, US",0,0,0.00
"Perry, Pennsylvania, US",0,0,0.00
"Philadelphia, Pennsylvania, US",0,0,0.00
"Pike, Pennsylvania, US",0,0,0.00
"Potter, Pennsylvania, US",0,0,0.00
"Schuylkill, Pennsylvania, US",0,0,0.00
"Snyder, Pennsylvania, US",0,0,0.00
"Somerset, Pennsylvania, US",0,0,0.00
"Sullivan, Pennsylvania, US",0,0,0.00
"Susquehanna, Pennsylvania, US",0,0,0.00
"Tioga, Pennsylvania, US",0,0,0.00
"Union, Pennsylvania, US",0,0,0.00
"Venango, Pennsylvania, US",0,0,0.00
"Warren, Pennsylvania, US",0,0,0.00
"Washington, Pennsylvania, US",0,0,0.00
"Wayne, Pennsylvania, US",0,0,0.00
"Westmoreland, Pennsylvania, US",0,0,0.00
"Wyoming, Pennsylvania, US",0,0,0.00
"York, Pennsylvania, US",0,0,0.00
