Location,7/18/20,7/19/20,delta
"San Juan, Puerto Rico, US",550,600,9.09
"Bayamon, Puerto Rico, US",240,254,5.83
"Carolina, Puerto Rico, US",209,239,14.35
"Guaynabo, Puerto Rico, US",177,183,3.39
"Caguas, Puerto Rico, US",122,135,10.66
"Mayaguez, Puerto Rico, US",120,128,6.67
"Ponce, Puerto Rico, US",106,111,4.72
"Toa Alta, Puerto Rico, US",75,91,21.33
"Toa Baja, Puerto Rico, US",67,72,7.46
"Trujillo Alto, Puerto Rico, US",62,68,9.68
"Canovanas, Puerto Rico, US",61,66,8.20
"Cabo Rojo, Puerto Rico, US",56,58,3.57
"Rio Grande, Puerto Rico, US",54,55,1.85
"Out of PR, Puerto Rico, US",51,53,3.92
"Arecibo, Puerto Rico, US",49,54,10.20
"Vega Baja, Puerto Rico, US",48,58,20.83
"Juana Diaz, Puerto Rico, US",47,53,12.77
"Yauco, Puerto Rico, US",47,50,6.38
"Aguadilla, Puerto Rico, US",43,50,16.28
"San German, Puerto Rico, US",38,40,5.26
"Ciales, Puerto Rico, US",37,38,2.70
"Dorado, Puerto Rico, US",37,40,8.11
"Hormigueros, Puerto Rico, US",33,34,3.03
"Morovis, Puerto Rico, US",33,40,21.21
"Orocovis, Puerto Rico, US",33,37,12.12
"San Sebastian, Puerto Rico, US",32,36,12.50
"Vega Alta, Puerto Rico, US",32,34,6.25
"Gurabo, Puerto Rico, US",30,32,6.67
"Moca, Puerto Rico, US",30,33,10.00
"Barranquitas, Puerto Rico, US",29,34,17.24
"Catano, Puerto Rico, US",29,36,24.14
"Sabana Grande, Puerto Rico, US",29,31,6.90
"Hatillo, Puerto Rico, US",28,27,-3.57
"Aguas Buenas, Puerto Rico, US",26,29,11.54
"Anasco, Puerto Rico, US",26,27,3.85
"Isabela, Puerto Rico, US",26,30,15.38
"Luquillo, Puerto Rico, US",26,27,3.85
"Aguada, Puerto Rico, US",25,26,4.00
"Quebradillas, Puerto Rico, US",25,25,0.00
"Lares, Puerto Rico, US",24,24,0.00
"Cidra, Puerto Rico, US",23,25,8.70
"Fajardo, Puerto Rico, US",23,25,8.70
"Las Piedras, Puerto Rico, US",23,25,8.70
"Guanica, Puerto Rico, US",22,22,0.00
"Adjuntas, Puerto Rico, US",21,24,14.29
"Comerio, Puerto Rico, US",21,22,4.76
"Cayey, Puerto Rico, US",20,22,10.00
"Camuy, Puerto Rico, US",19,21,10.53
"Rincon, Puerto Rico, US",19,20,5.26
"Guayanilla, Puerto Rico, US",17,17,0.00
"Penuelas, Puerto Rico, US",17,17,0.00
"Corozal, Puerto Rico, US",16,16,0.00
"Las Marias, Puerto Rico, US",16,17,6.25
"Manati, Puerto Rico, US",16,19,18.75
"San Lorenzo, Puerto Rico, US",16,18,12.50
"Villalba, Puerto Rico, US",16,17,6.25
"Maricao, Puerto Rico, US",15,16,6.67
"Humacao, Puerto Rico, US",14,15,7.14
"Juncos, Puerto Rico, US",14,15,7.14
"Loiza, Puerto Rico, US",14,15,7.14
"Guayama, Puerto Rico, US",13,15,15.38
"Salinas, Puerto Rico, US",13,14,7.69
"Arroyo, Puerto Rico, US",12,12,0.00
"Aibonito, Puerto Rico, US",11,11,0.00
"Ceiba, Puerto Rico, US",11,11,0.00
"Naranjito, Puerto Rico, US",11,16,45.45
"Yabucoa, Puerto Rico, US",10,10,0.00
"Lajas, Puerto Rico, US",9,9,0.00
"Utuado, Puerto Rico, US",9,9,0.00
"Coamo, Puerto Rico, US",8,10,25.00
"Culebra, Puerto Rico, US",8,9,12.50
"Barceloneta, Puerto Rico, US",7,7,0.00
"Florida, Puerto Rico, US",7,10,42.86
"Jayuya, Puerto Rico, US",7,7,0.00
"Patillas, Puerto Rico, US",7,7,0.00
"Naguabo, Puerto Rico, US",6,7,16.67
"Santa Isabel, Puerto Rico, US",4,5,25.00
"Maunabo, Puerto Rico, US",3,3,0.00
"Vieques, Puerto Rico, US",1,1,0.00
