Location,4/1/20,4/2/20,delta
"Charleston, South Carolina, US",190,231,21.58
"Richland, South Carolina, US",176,200,13.64
"Greenville, South Carolina, US",129,154,19.38
"Kershaw, South Carolina, US",116,129,11.21
"Beaufort, South Carolina, US",101,130,28.71
"York, South Carolina, US",66,66,0.00
"Lexington, South Carolina, US",61,70,14.75
"Sumter, South Carolina, US",48,66,37.50
"Anderson, South Carolina, US",47,57,21.28
"Spartanburg, South Carolina, US",45,50,11.11
"Horry, South Carolina, US",42,50,19.05
"Clarendon, South Carolina, US",28,31,10.71
"Dorchester, South Carolina, US",27,35,29.63
"Orangeburg, South Carolina, US",24,24,0.00
"Florence, South Carolina, US",21,26,23.81
"Aiken, South Carolina, US",18,22,22.22
"Berkeley, South Carolina, US",18,33,83.33
"Lancaster, South Carolina, US",17,26,52.94
"Georgetown, South Carolina, US",14,15,7.14
"Pickens, South Carolina, US",14,15,7.14
"Darlington, South Carolina, US",11,15,36.36
"Chesterfield, South Carolina, US",9,10,11.11
"Fairfield, South Carolina, US",7,8,14.29
"Greenwood, South Carolina, US",6,8,33.33
"Colleton, South Carolina, US",5,6,20.00
"Lee, South Carolina, US",5,8,60.00
"Oconee, South Carolina, US",5,5,0.00
"Abbeville, South Carolina, US",4,6,50.00
"Bamberg, South Carolina, US",4,5,25.00
"Edgefield, South Carolina, US",4,4,0.00
"Jasper, South Carolina, US",4,7,75.00
"Laurens, South Carolina, US",4,4,0.00
"Calhoun, South Carolina, US",3,3,0.00
"Chester, South Carolina, US",3,6,100.00
"Union, South Carolina, US",3,5,66.67
"Williamsburg, South Carolina, US",3,6,100.00
"Barnwell, South Carolina, US",2,2,0.00
"Marion, South Carolina, US",2,2,0.00
"Marlboro, South Carolina, US",2,3,50.00
"Newberry, South Carolina, US",2,4,100.00
"Allendale, South Carolina, US",1,1,0.00
"Dillon, South Carolina, US",1,1,0.00
"Saluda, South Carolina, US",1,2,100.00
"Cherokee, South Carolina, US",0,1,0.00
"Hampton, South Carolina, US",0,1,0.00
"McCormick, South Carolina, US",0,1,0.00
"Out of SC, South Carolina, US",0,0,0.00
