Location,3/24/20,3/25/20,delta
"Kershaw, South Carolina, US",58,63,8.62
"Richland, South Carolina, US",45,59,31.11
"Greenville, South Carolina, US",39,50,28.21
"Charleston, South Carolina, US",36,52,44.44
"Beaufort, South Carolina, US",22,26,18.18
"Horry, South Carolina, US",19,20,5.26
"Lexington, South Carolina, US",19,18,-5.26
"Anderson, South Carolina, US",16,19,18.75
"York, South Carolina, US",11,18,63.64
"Darlington, South Carolina, US",8,8,0.00
"Orangeburg, South Carolina, US",8,9,12.50
"Sumter, South Carolina, US",8,10,25.00
"Lancaster, South Carolina, US",7,6,-14.29
"Clarendon, South Carolina, US",5,5,0.00
"Florence, South Carolina, US",5,5,0.00
"Berkeley, South Carolina, US",4,5,25.00
"Spartanburg, South Carolina, US",4,9,125.00
"Dorchester, South Carolina, US",3,4,33.33
"Aiken, South Carolina, US",2,2,0.00
"Fairfield, South Carolina, US",2,3,50.00
"Georgetown, South Carolina, US",2,2,0.00
"Greenwood, South Carolina, US",2,2,0.00
"Jasper, South Carolina, US",2,2,0.00
"Lee, South Carolina, US",2,2,0.00
"Oconee, South Carolina, US",2,2,0.00
"Abbeville, South Carolina, US",1,3,200.00
"Calhoun, South Carolina, US",1,1,0.00
"Chester, South Carolina, US",1,1,0.00
"Chesterfield, South Carolina, US",1,3,200.00
"Colleton, South Carolina, US",1,1,0.00
"Dillon, South Carolina, US",1,1,0.00
"Edgefield, South Carolina, US",1,1,0.00
"Marlboro, South Carolina, US",1,1,0.00
"Newberry, South Carolina, US",1,1,0.00
"Pickens, South Carolina, US",1,6,500.00
"Saluda, South Carolina, US",1,1,0.00
"Allendale, South Carolina, US",0,0,0.00
"Bamberg, South Carolina, US",0,0,0.00
"Barnwell, South Carolina, US",0,0,0.00
"Cherokee, South Carolina, US",0,0,0.00
"Hampton, South Carolina, US",0,0,0.00
"Laurens, South Carolina, US",0,0,0.00
"Marion, South Carolina, US",0,1,0.00
"McCormick, South Carolina, US",0,0,0.00
"Out of SC, South Carolina, US",0,0,0.00
"Union, South Carolina, US",0,1,0.00
"Williamsburg, South Carolina, US",0,1,0.00
