Location,7/12/20,7/13/20,delta
"Shelby, Tennessee, US",13594,14163,4.19
"Davidson, Tennessee, US",13309,13976,5.01
"Rutherford, Tennessee, US",3602,3755,4.25
"Hamilton, Tennessee, US",3364,3535,5.08
"Sumner, Tennessee, US",1945,2040,4.88
"Williamson, Tennessee, US",1763,1939,9.98
"Knox, Tennessee, US",1620,1717,5.99
"Trousdale, Tennessee, US",1510,1510,0.00
"Out of TN, Tennessee, US",1416,1660,17.23
"Wilson, Tennessee, US",1187,1261,6.23
"Putnam, Tennessee, US",1019,1081,6.08
"Bradley, Tennessee, US",972,1010,3.91
"Robertson, Tennessee, US",948,973,2.64
"Sevier, Tennessee, US",912,924,1.32
"Montgomery, Tennessee, US",778,824,5.91
"Tipton, Tennessee, US",698,717,2.72
"Lake, Tennessee, US",696,696,0.00
"Bledsoe, Tennessee, US",629,631,0.32
"Bedford, Tennessee, US",624,630,0.96
"Macon, Tennessee, US",603,646,7.13
"Hamblen, Tennessee, US",474,508,7.17
"Maury, Tennessee, US",462,499,8.01
"Hardeman, Tennessee, US",418,444,6.22
"Fayette, Tennessee, US",370,380,2.70
"Madison, Tennessee, US",363,384,5.79
"Rhea, Tennessee, US",343,350,2.04
"Blount, Tennessee, US",339,348,2.65
"Loudon, Tennessee, US",328,331,0.91
"Dyer, Tennessee, US",292,302,3.42
"McMinn, Tennessee, US",284,293,3.17
"Cheatham, Tennessee, US",275,287,4.36
"Dickson, Tennessee, US",275,282,2.55
"Washington, Tennessee, US",262,276,5.34
"Lawrence, Tennessee, US",239,250,4.60
"Cumberland, Tennessee, US",221,229,3.62
"Sullivan, Tennessee, US",221,248,12.22
"Anderson, Tennessee, US",200,211,5.50
"Jefferson, Tennessee, US",187,193,3.21
"Lauderdale, Tennessee, US",182,193,6.04
"Gibson, Tennessee, US",181,203,12.15
"Smith, Tennessee, US",160,185,15.63
"Monroe, Tennessee, US",155,156,0.65
"Greene, Tennessee, US",151,157,3.97
"Coffee, Tennessee, US",143,152,6.29
"Cocke, Tennessee, US",138,146,5.80
"Hardin, Tennessee, US",128,140,9.38
"Warren, Tennessee, US",127,159,25.20
"Obion, Tennessee, US",124,127,2.42
"Haywood, Tennessee, US",121,141,16.53
"Marshall, Tennessee, US",118,123,4.24
"Franklin, Tennessee, US",116,122,5.17
"Wayne, Tennessee, US",116,123,6.03
"McNairy, Tennessee, US",107,117,9.35
"Carter, Tennessee, US",105,108,2.86
"Giles, Tennessee, US",105,122,16.19
"Hickman, Tennessee, US",105,112,6.67
"Marion, Tennessee, US",95,101,6.32
"Hawkins, Tennessee, US",91,95,4.40
"Lincoln, Tennessee, US",87,95,9.20
"White, Tennessee, US",86,93,8.14
"DeKalb,Tennessee,US",85,99,16.47
"Roane, Tennessee, US",85,88,3.53
"Henderson, Tennessee, US",74,83,12.16
"Weakley, Tennessee, US",74,79,6.76
"Overton, Tennessee, US",73,79,8.22
"Campbell, Tennessee, US",70,72,2.86
"Chester, Tennessee, US",69,81,17.39
"Claiborne, Tennessee, US",68,76,11.76
"Grundy, Tennessee, US",65,67,3.08
"Unicoi, Tennessee, US",58,60,3.45
"Grainger, Tennessee, US",56,59,5.36
"Polk, Tennessee, US",55,57,3.64
"Crockett, Tennessee, US",54,65,20.37
"Henry, Tennessee, US",53,54,1.89
"Carroll, Tennessee, US",52,57,9.62
"Cannon, Tennessee, US",50,58,16.00
"Sequatchie, Tennessee, US",49,52,6.12
"Humphreys, Tennessee, US",47,48,2.13
"Jackson, Tennessee, US",47,50,6.38
"Johnson, Tennessee, US",46,49,6.52
"Meigs, Tennessee, US",38,40,5.26
"Perry, Tennessee, US",38,43,13.16
"Morgan, Tennessee, US",32,34,6.25
"Decatur, Tennessee, US",29,35,20.69
"Scott, Tennessee, US",28,29,3.57
"Fentress, Tennessee, US",27,29,7.41
"Stewart, Tennessee, US",26,27,3.85
"Union, Tennessee, US",24,28,16.67
"Moore, Tennessee, US",21,23,9.52
"Clay, Tennessee, US",20,23,15.00
"Houston, Tennessee, US",20,23,15.00
"Benton, Tennessee, US",15,16,6.67
"Hancock, Tennessee, US",12,12,0.00
"Lewis, Tennessee, US",11,12,9.09
"Van Buren, Tennessee, US",9,9,0.00
"Pickett, Tennessee, US",7,8,14.29
