Location,1/22/20,1/23/20,delta
"Anderson, Tennessee, US",0,0,0.00
"Bedford, Tennessee, US",0,0,0.00
"Benton, Tennessee, US",0,0,0.00
"Bledsoe, Tennessee, US",0,0,0.00
"Blount, Tennessee, US",0,0,0.00
"Bradley, Tennessee, US",0,0,0.00
"Campbell, Tennessee, US",0,0,0.00
"Cannon, Tennessee, US",0,0,0.00
"Carroll, Tennessee, US",0,0,0.00
"Carter, Tennessee, US",0,0,0.00
"Cheatham, Tennessee, US",0,0,0.00
"Chester, Tennessee, US",0,0,0.00
"Claiborne, Tennessee, US",0,0,0.00
"Clay, Tennessee, US",0,0,0.00
"Cocke, Tennessee, US",0,0,0.00
"Coffee, Tennessee, US",0,0,0.00
"Crockett, Tennessee, US",0,0,0.00
"Cumberland, Tennessee, US",0,0,0.00
"Davidson, Tennessee, US",0,0,0.00
"DeKalb,Tennessee,US",0,0,0.00
"Decatur, Tennessee, US",0,0,0.00
"Dickson, Tennessee, US",0,0,0.00
"Dyer, Tennessee, US",0,0,0.00
"Fayette, Tennessee, US",0,0,0.00
"Fentress, Tennessee, US",0,0,0.00
"Franklin, Tennessee, US",0,0,0.00
"Gibson, Tennessee, US",0,0,0.00
"Giles, Tennessee, US",0,0,0.00
"Grainger, Tennessee, US",0,0,0.00
"Greene, Tennessee, US",0,0,0.00
"Grundy, Tennessee, US",0,0,0.00
"Hamblen, Tennessee, US",0,0,0.00
"Hamilton, Tennessee, US",0,0,0.00
"Hancock, Tennessee, US",0,0,0.00
"Hardeman, Tennessee, US",0,0,0.00
"Hardin, Tennessee, US",0,0,0.00
"Hawkins, Tennessee, US",0,0,0.00
"Haywood, Tennessee, US",0,0,0.00
"Henderson, Tennessee, US",0,0,0.00
"Henry, Tennessee, US",0,0,0.00
"Hickman, Tennessee, US",0,0,0.00
"Houston, Tennessee, US",0,0,0.00
"Humphreys, Tennessee, US",0,0,0.00
"Jackson, Tennessee, US",0,0,0.00
"Jefferson, Tennessee, US",0,0,0.00
"Johnson, Tennessee, US",0,0,0.00
"Knox, Tennessee, US",0,0,0.00
"Lake, Tennessee, US",0,0,0.00
"Lauderdale, Tennessee, US",0,0,0.00
"Lawrence, Tennessee, US",0,0,0.00
"Lewis, Tennessee, US",0,0,0.00
"Lincoln, Tennessee, US",0,0,0.00
"Loudon, Tennessee, US",0,0,0.00
"Macon, Tennessee, US",0,0,0.00
"Madison, Tennessee, US",0,0,0.00
"Marion, Tennessee, US",0,0,0.00
"Marshall, Tennessee, US",0,0,0.00
"Maury, Tennessee, US",0,0,0.00
"McMinn, Tennessee, US",0,0,0.00
"McNairy, Tennessee, US",0,0,0.00
"Meigs, Tennessee, US",0,0,0.00
"Monroe, Tennessee, US",0,0,0.00
"Montgomery, Tennessee, US",0,0,0.00
"Moore, Tennessee, US",0,0,0.00
"Morgan, Tennessee, US",0,0,0.00
"Obion, Tennessee, US",0,0,0.00
"Out of TN, Tennessee, US",0,0,0.00
"Overton, Tennessee, US",0,0,0.00
"Perry, Tennessee, US",0,0,0.00
"Pickett, Tennessee, US",0,0,0.00
"Polk, Tennessee, US",0,0,0.00
"Putnam, Tennessee, US",0,0,0.00
"Rhea, Tennessee, US",0,0,0.00
"Roane, Tennessee, US",0,0,0.00
"Robertson, Tennessee, US",0,0,0.00
"Rutherford, Tennessee, US",0,0,0.00
"Scott, Tennessee, US",0,0,0.00
"Sequatchie, Tennessee, US",0,0,0.00
"Sevier, Tennessee, US",0,0,0.00
"Shelby, Tennessee, US",0,0,0.00
"Smith, Tennessee, US",0,0,0.00
"Stewart, Tennessee, US",0,0,0.00
"Sullivan, Tennessee, US",0,0,0.00
"Sumner, Tennessee, US",0,0,0.00
"Tipton, Tennessee, US",0,0,0.00
"Trousdale, Tennessee, US",0,0,0.00
"Unicoi, Tennessee, US",0,0,0.00
"Union, Tennessee, US",0,0,0.00
"Van Buren, Tennessee, US",0,0,0.00
"Warren, Tennessee, US",0,0,0.00
"Washington, Tennessee, US",0,0,0.00
"Wayne, Tennessee, US",0,0,0.00
"Weakley, Tennessee, US",0,0,0.00
"White, Tennessee, US",0,0,0.00
"Williamson, Tennessee, US",0,0,0.00
"Wilson, Tennessee, US",0,0,0.00
