"Harris, Texas, US",161613,162306,0.43
"Dallas, Texas, US",102642,103392,0.73
"Tarrant, Texas, US",68233,68803,0.84
"Bexar, Texas, US",65873,66064,0.29
"El Paso, Texas, US",48885,50114,2.51
"Hidalgo, Texas, US",35785,35785,0.00
"Travis, Texas, US",32143,32220,0.24
"Cameron, Texas, US",24280,24280,0.00
"Nueces, Texas, US",21342,21378,0.17
"Lubbock, Texas, US",19167,19418,1.31
"Collin, Texas, US",18635,19283,3.48
"Fort Bend, Texas, US",17735,18416,3.84
"Denton, Texas, US",16987,16987,0.00
"Webb, Texas, US",15413,15413,0.00
"Montgomery, Texas, US",14175,14175,0.00
"Galveston, Texas, US",12663,13211,4.33
"Brazoria, Texas, US",12501,12501,0.00
"McLennan, Texas, US",10263,10316,0.52
"Williamson, Texas, US",9588,9776,1.96
"Brazos, Texas, US",8890,8922,0.36
"Jefferson, Texas, US",8471,8471,0.00
"Potter, Texas, US",8237,8237,0.00
"Hays, Texas, US",6921,6921,0.00
"Bell, Texas, US",6560,6560,0.00
"Ector, Texas, US",6547,6547,0.00
"Midland, Texas, US",5540,5540,0.00
"Randall, Texas, US",5483,5483,0.00
"Ellis, Texas, US",5043,5576,10.57
"Tom Green, Texas, US",4982,5027,0.90
"Smith, Texas, US",4633,6685,44.29
"Victoria, Texas, US",4302,4311,0.21
"Maverick, Texas, US",4292,4322,0.70
"Wichita, Texas, US",4001,4001,0.00
"Walker, Texas, US",3936,4129,4.90
"Guadalupe, Texas, US",3903,4290,9.92
"Johnson, Texas, US",3821,4174,9.24
"Kaufman, Texas, US",3629,4005,10.36
"Starr, Texas, US",3583,3622,1.09
"Anderson, Texas, US",2979,3322,11.51
"Comal, Texas, US",2884,3796,31.62
"Grayson, Texas, US",2752,2752,0.00
"Hale, Texas, US",2678,2678,0.00
"Val Verde, Texas, US",2625,2637,0.46
"Gregg, Texas, US",2612,3531,35.18
"Parker, Texas, US",2528,2942,16.38
"Angelina, Texas, US",2317,2922,26.11
"Liberty, Texas, US",2305,2895,25.60
"Orange, Texas, US",2267,2808,23.86
"Taylor, Texas, US",2228,4782,114.63
"Hunt, Texas, US",2052,2075,1.12
"Bowie, Texas, US",2032,2497,22.88
"Bastrop, Texas, US",2023,2362,16.76
"Coryell, Texas, US",2019,2053,1.68
"Rockwall, Texas, US",1988,2314,16.40
"Lamar, Texas, US",1874,1920,2.45
"Bee, Texas, US",1865,1896,1.66
"Nacogdoches, Texas, US",1820,2119,16.43
"Caldwell, Texas, US",1726,1777,2.95
"Jim Wells, Texas, US",1709,1776,3.92
"Cherokee, Texas, US",1657,2169,30.90
"Titus, Texas, US",1611,1752,8.75
"San Patricio, Texas, US",1592,1592,0.00
"Chambers, Texas, US",1585,1585,0.00
"Navarro, Texas, US",1472,2001,35.94
"Wharton, Texas, US",1466,1598,9.00
"Hardin, Texas, US",1457,1966,34.93
"Moore, Texas, US",1348,1511,12.09
"Henderson, Texas, US",1332,1724,29.43
"Medina, Texas, US",1294,1637,26.51
"Atascosa, Texas, US",1287,1510,17.33
"Willacy, Texas, US",1247,1251,0.32
"Hood, Texas, US",1233,1468,19.06
"Howard, Texas, US",1222,1931,58.02
"Grimes, Texas, US",1193,1243,4.19
"Lavaca, Texas, US",1177,1212,2.97
"Scurry, Texas, US",1140,1140,0.00
"Gonzales, Texas, US",1133,1169,3.18
"Matagorda, Texas, US",1121,1171,4.46
"Harrison, Texas, US",1119,1410,26.01
"Burnet, Texas, US",1096,1135,3.56
"DeWitt, Texas, US",1087,1087,0.00
"Erath, Texas, US",1065,1448,35.96
"Deaf Smith, Texas, US",1042,1270,21.88
