"Harris, Texas, US",281422,284917,1.24
"Dallas, Texas, US",233248,234625,0.59
"Tarrant, Texas, US",187863,190886,1.61
"Bexar, Texas, US",146343,148555,1.51
"El Paso, Texas, US",106312,106677,0.34
"Collin, Texas, US",62571,63239,1.07
"Travis, Texas, US",60379,60782,0.67
"Hidalgo, Texas, US",57337,57337,0.00
"Denton, Texas, US",46272,46272,0.00
"Lubbock, Texas, US",45203,45308,0.23
"Fort Bend, Texas, US",43662,43662,0.00
"Montgomery, Texas, US",33006,33006,0.00
"Cameron, Texas, US",32698,32698,0.00
"Nueces, Texas, US",32686,32850,0.50
"Webb, Texas, US",32658,34322,5.10
"Williamson, Texas, US",29796,29796,0.00
"Galveston, Texas, US",26643,26898,0.96
"Brazoria, Texas, US",25627,25789,0.63
"McLennan, Texas, US",21809,21894,0.39
"Brazos, Texas, US",16749,16860,0.66
"Bell, Texas, US",16512,16512,0.00
"Ellis, Texas, US",16403,16403,0.00
"Potter, Texas, US",15947,15947,0.00
"Jefferson, Texas, US",15872,15897,0.16
"Smith, Texas, US",15247,15406,1.04
"Randall, Texas, US",15104,15104,0.00
"Tom Green, Texas, US",14680,14743,0.43
"Hays, Texas, US",14460,14460,0.00
"Johnson, Texas, US",14435,14435,0.00
"Midland, Texas, US",13334,13334,0.00
"Wichita, Texas, US",13179,13179,0.00
"Taylor, Texas, US",12990,13133,1.10
"Ector, Texas, US",12222,12222,0.00
"Kaufman, Texas, US",11450,11450,0.00
"Parker, Texas, US",11314,11314,0.00
"Guadalupe, Texas, US",9123,9123,0.00
"Grayson, Texas, US",8766,8766,0.00
"Gregg, Texas, US",8320,8451,1.57
"Rockwall, Texas, US",8222,8222,0.00
"Maverick, Texas, US",8189,8189,0.00
"Starr, Texas, US",7357,7433,1.03
"Comal, Texas, US",7314,7314,0.00
"Walker, Texas, US",6871,6900,0.42
"Victoria, Texas, US",6672,6672,0.00
"Angelina, Texas, US",6552,6552,0.00
"Val Verde, Texas, US",6331,6331,0.00
"Orange, Texas, US",5948,5948,0.00
"Hale, Texas, US",5636,5636,0.00
"Anderson, Texas, US",5536,5575,0.70
"Wise, Texas, US",5384,5384,0.00
"Hood, Texas, US",5050,5050,0.00
"Liberty, Texas, US",4957,5044,1.76
"Lamar, Texas, US",4925,4925,0.00
"Navarro, Texas, US",4798,4798,0.00
"Bowie, Texas, US",4779,4779,0.00
"Hunt, Texas, US",4557,4557,0.00
"Henderson, Texas, US",4381,4434,1.21
"Bastrop, Texas, US",4349,4361,0.28
"Coryell, Texas, US",4307,4313,0.14
"Howard, Texas, US",4170,4170,0.00
"Hardin, Texas, US",4080,4080,0.00
"Atascosa, Texas, US",3781,3781,0.00
"Cherokee, Texas, US",3491,3491,0.00
"Erath, Texas, US",3470,3470,0.00
"San Patricio, Texas, US",3450,3450,0.00
"Nacogdoches, Texas, US",3443,3469,0.76
"Chambers, Texas, US",3431,3431,0.00
"Brown, Texas, US",3382,3382,0.00
"Jim Wells, Texas, US",3344,3406,1.85
"Harrison, Texas, US",3277,3485,6.35
"Medina, Texas, US",3253,3253,0.00
"Van Zandt, Texas, US",3109,3154,1.45
"Titus, Texas, US",3065,3107,1.37
"Bee, Texas, US",3032,3060,0.92
"Kerr, Texas, US",3020,3020,0.00
"Rusk, Texas, US",2964,2964,0.00
"Wharton, Texas, US",2919,2956,1.27
"Cooke, Texas, US",2806,2806,0.00
"Wilson, Texas, US",2790,2790,0.00
"Caldwell, Texas, US",2724,2726,0.07
