Location,3/18/20,3/19/20,delta
"Dallas, Texas, US",39,59,51.28
"Harris, Texas, US",23,30,30.43
"Travis, Texas, US",23,41,78.26
"Fort Bend, Texas, US",12,19,58.33
"Bexar, Texas, US",11,29,163.64
"Collin, Texas, US",11,18,63.64
"Tarrant, Texas, US",8,19,137.50
"Montgomery, Texas, US",7,7,0.00
"Denton, Texas, US",5,9,80.00
"Hays, Texas, US",5,5,0.00
"McLennan, Texas, US",5,6,20.00
"Smith, Texas, US",5,5,0.00
"Brazos, Texas, US",4,4,0.00
"Galveston, Texas, US",4,4,0.00
"Williamson, Texas, US",4,8,100.00
"Bell, Texas, US",3,6,100.00
"Brazoria, Texas, US",3,4,33.33
"El Paso, Texas, US",3,6,100.00
"Lubbock, Texas, US",3,3,0.00
"Matagorda, Texas, US",3,3,0.00
"Cameron, Texas, US",2,0,-100.00
"Bowie, Texas, US",1,1,0.00
"Brown, Texas, US",1,1,0.00
"Comal, Texas, US",1,1,0.00
"DeWitt, Texas, US",1,1,0.00
"Ellis, Texas, US",1,1,0.00
"Fannin, Texas, US",1,1,0.00
"Gregg, Texas, US",1,1,0.00
"Grimes, Texas, US",1,1,0.00
"Jefferson, Texas, US",1,1,0.00
"Johnson, Texas, US",1,1,0.00
"Lavaca, Texas, US",1,1,0.00
"Rusk, Texas, US",1,1,0.00
"Webb, Texas, US",1,1,0.00
"Wichita, Texas, US",1,1,0.00
"Anderson, Texas, US",0,0,0.00
"Andrews, Texas, US",0,0,0.00
"Angelina, Texas, US",0,0,0.00
"Aransas, Texas, US",0,0,0.00
"Archer, Texas, US",0,0,0.00
"Armstrong, Texas, US",0,0,0.00
"Atascosa, Texas, US",0,0,0.00
"Austin, Texas, US",0,0,0.00
"Bailey, Texas, US",0,0,0.00
"Bandera, Texas, US",0,0,0.00
"Bastrop, Texas, US",0,0,0.00
"Baylor, Texas, US",0,0,0.00
"Bee, Texas, US",0,0,0.00
"Blanco, Texas, US",0,0,0.00
"Borden, Texas, US",0,0,0.00
"Bosque, Texas, US",0,0,0.00
"Brewster, Texas, US",0,0,0.00
"Briscoe, Texas, US",0,0,0.00
"Brooks, Texas, US",0,0,0.00
"Burleson, Texas, US",0,0,0.00
"Burnet, Texas, US",0,0,0.00
"Caldwell, Texas, US",0,0,0.00
"Calhoun, Texas, US",0,0,0.00
"Callahan, Texas, US",0,0,0.00
"Camp, Texas, US",0,0,0.00
"Carson, Texas, US",0,0,0.00
"Cass, Texas, US",0,0,0.00
"Castro, Texas, US",0,0,0.00
"Chambers, Texas, US",0,0,0.00
"Cherokee, Texas, US",0,0,0.00
"Childress, Texas, US",0,0,0.00
"Clay, Texas, US",0,0,0.00
"Cochran, Texas, US",0,0,0.00
"Coke, Texas, US",0,0,0.00
"Coleman, Texas, US",0,0,0.00
"Collingsworth, Texas, US",0,0,0.00
"Colorado, Texas, US",0,0,0.00
"Comanche, Texas, US",0,0,0.00
"Concho, Texas, US",0,0,0.00
"Cooke, Texas, US",0,0,0.00
"Coryell, Texas, US",0,0,0.00
"Cottle, Texas, US",0,0,0.00
"Crane, Texas, US",0,1,0.00
"Crockett, Texas, US",0,0,0.00
"Crosby, Texas, US",0,0,0.00
"Culberson, Texas, US",0,0,0.00
"Dallam, Texas, US",0,0,0.00
"Dawson, Texas, US",0,0,0.00
"Deaf Smith, Texas, US",0,0,0.00
"Delta, Texas, US",0,0,0.00
"Dickens, Texas, US",0,0,0.00
"Dimmit, Texas, US",0,0,0.00
"Donley, Texas, US",0,0,0.00
"Duval, Texas, US",0,0,0.00
"Eastland, Texas, US",0,0,0.00
"Ector, Texas, US",0,0,0.00
"Edwards, Texas, US",0,0,0.00
"Erath, Texas, US",0,0,0.00
"Falls, Texas, US",0,0,0.00
"Fayette, Texas, US",0,0,0.00
"Fisher, Texas, US",0,0,0.00
"Floyd, Texas, US",0,0,0.00
"Foard, Texas, US",0,0,0.00
"Franklin, Texas, US",0,0,0.00
"Freestone, Texas, US",0,0,0.00
"Frio, Texas, US",0,0,0.00
"Gaines, Texas, US",0,0,0.00
