Location,4/16/20,4/17/20,delta
"Salt Lake, Utah, US",1377,1456,5.74
"Utah, Utah, US",387,403,4.13
"Summit, Utah, US",308,311,0.97
"Davis, Utah, US",220,227,3.18
"Weber-Morgan, Utah, US",108,110,1.85
"Wasatch, Utah, US",103,103,0.00
"Washington,Utah,US",47,74,57.45
"Tooele, Utah, US",38,38,0.00
"Cache, Utah, US",37,0,-100.00
"Bear River, Utah, US",15,54,260.00
"Iron, Utah, US",15,0,-100.00
"San Juan, Utah, US",9,17,88.89
"Uintah, Utah, US",6,0,-100.00
"Duchesne, Utah, US",3,0,-100.00
"Emery, Utah, US",3,0,-100.00
"Kane, Utah, US",3,0,-100.00
"Carbon, Utah, US",2,0,-100.00
"Garfield, Utah, US",1,0,-100.00
"Grand, Utah, US",1,0,-100.00
"Beaver, Utah, US",0,0,0.00
"Box Elder, Utah, US",0,0,0.00
"Central Utah, Utah, US",0,0,0.00
"Daggett, Utah, US",0,0,0.00
"Juab, Utah, US",0,0,0.00
"Millard, Utah, US",0,0,0.00
"Morgan, Utah, US",0,0,0.00
"Out of UT, Utah, US",0,0,0.00
"Piute, Utah, US",0,0,0.00
"Rich, Utah, US",0,0,0.00
"Sanpete, Utah, US",0,0,0.00
"Sevier, Utah, US",0,0,0.00
"Southeast Utah, Utah, US",0,0,0.00
"Southwest Utah, Utah, US",0,0,0.00
"TriCounty, Utah, US",0,0,0.00
"Wayne, Utah, US",0,0,0.00
"Weber,Utah,US",0,0,0.00
