Location,3/20/20,3/21/20,delta
"Chittenden, Vermont, US",9,22,144.44
"Bennington, Vermont, US",3,4,33.33
"Windsor, Vermont, US",3,9,200.00
"Addison, Vermont, US",1,3,200.00
"Orange, Vermont, US",1,4,300.00
"Washington, Vermont, US",1,2,100.00
"Caledonia, Vermont, US",0,0,0.00
"Essex, Vermont, US",0,0,0.00
"Franklin, Vermont, US",0,2,0.00
"Grand Isle, Vermont, US",0,0,0.00
"Lamoille, Vermont, US",0,0,0.00
"Orleans, Vermont, US",0,0,0.00
"Out of VT, Vermont, US",0,0,0.00
"Rutland, Vermont, US",0,2,0.00
"Windham, Vermont, US",0,1,0.00
