Location,3/24/20,3/25/20,delta
"Chittenden, Vermont, US",40,55,37.50
"Windsor, Vermont, US",15,17,13.33
"Bennington, Vermont, US",9,11,22.22
"Addison, Vermont, US",8,9,12.50
"Rutland, Vermont, US",5,5,0.00
"Windham, Vermont, US",5,7,40.00
"Orange, Vermont, US",3,3,0.00
"Washington, Vermont, US",3,5,66.67
"Franklin, Vermont, US",2,3,50.00
"Lamoille, Vermont, US",2,4,100.00
"Orleans, Vermont, US",2,3,50.00
"Caledonia, Vermont, US",1,1,0.00
"Essex, Vermont, US",0,0,0.00
"Grand Isle, Vermont, US",0,0,0.00
"Out of VT, Vermont, US",0,0,0.00
