"Chittenden, Vermont, US",22,22,0.00
"Windsor, Vermont, US",9,8,-11.11
"Bennington, Vermont, US",4,4,0.00
"Orange, Vermont, US",4,3,-25.00
"Addison, Vermont, US",3,3,0.00
"Franklin, Vermont, US",2,2,0.00
"Rutland, Vermont, US",2,3,50.00
"Washington, Vermont, US",2,2,0.00
"Windham, Vermont, US",1,5,400.00
"Caledonia, Vermont, US",0,0,0.00
"Essex, Vermont, US",0,0,0.00
"Grand Isle, Vermont, US",0,0,0.00
"Lamoille, Vermont, US",0,0,0.00
"Orleans, Vermont, US",0,0,0.00
"Out of VT, Vermont, US",0,0,0.00
