"Chittenden, Vermont, US",372,372,0.00
"Franklin, Vermont, US",83,84,1.20
"Addison, Vermont, US",56,56,0.00
"Windham, Vermont, US",55,57,3.64
"Rutland, Vermont, US",39,8,-79.49
"Bennington, Vermont, US",32,32,0.00
"Washington, Vermont, US",28,29,3.57
"Windsor, Vermont, US",27,27,0.00
"Lamoille, Vermont, US",22,22,0.00
"Caledonia, Vermont, US",9,9,0.00
"Orleans, Vermont, US",8,8,0.00
"Orange, Vermont, US",5,5,0.00
"Grand Isle, Vermont, US",3,3,0.00
"Essex, Vermont, US",1,1,0.00
"Out of VT, Vermont, US",0,0,0.00
