"Fairfax, Virginia, US",488,532,9.02
"Henrico, Virginia, US",207,267,28.99
"Arlington, Virginia, US",203,237,16.75
"Prince William, Virginia, US",193,236,22.28
"Loudoun, Virginia, US",188,209,11.17
"Virginia Beach, Virginia, US",178,200,12.36
"James City, Virginia, US",118,119,0.85
"Chesterfield, Virginia, US",108,128,18.52
"Richmond City, Virginia, US",105,110,4.76
"Alexandria, Virginia, US",93,126,35.48
"Chesapeake, Virginia, US",77,80,3.90
"Norfolk, Virginia, US",60,72,20.00
"Newport News, Virginia, US",54,57,5.56
"Stafford, Virginia, US",43,49,13.95
"Hampton, Virginia, US",41,43,4.88
"Albemarle, Virginia, US",34,38,11.76
"Frederick, Virginia, US",31,43,38.71
"Suffolk, Virginia, US",28,30,7.14
"Harrisonburg, Virginia, US",27,27,0.00
"Portsmouth, Virginia, US",27,36,33.33
"Spotsylvania, Virginia, US",26,29,11.54
"Charlottesville, Virginia, US",22,23,4.55
"Isle of Wight, Virginia, US",22,23,4.55
"York, Virginia, US",21,25,19.05
"Prince George, Virginia, US",18,21,16.67
"Goochland, Virginia, US",17,22,29.41
"Manassas,Virginia,US",17,20,17.65
"Botetourt, Virginia, US",15,18,20.00
"Rockingham, Virginia, US",15,16,6.67
"Louisa, Virginia, US",14,14,0.00
"Danville, Virginia, US",13,15,15.38
"Hanover, Virginia, US",13,19,46.15
"Shenandoah, Virginia, US",13,13,0.00
"Williamsburg, Virginia, US",13,14,7.69
"Winchester, Virginia, US",13,14,7.69
"Gloucester, Virginia, US",12,15,25.00
"Mecklenburg, Virginia, US",12,12,0.00
"New Kent, Virginia, US",12,12,0.00
"Accomack, Virginia, US",11,11,0.00
"Fauquier, Virginia, US",11,18,63.64
"Lynchburg, Virginia, US",11,20,81.82
"Roanoke City, Virginia, US",11,12,9.09
"Franklin, Virginia, US",10,11,10.00
"Hopewell, Virginia, US",10,13,30.00
"King George, Virginia, US",10,10,0.00
"Petersburg, Virginia, US",10,10,0.00
"Augusta, Virginia, US",9,10,11.11
"Fluvanna, Virginia, US",9,9,0.00
"Culpeper, Virginia, US",8,9,12.50
"Fredericksburg, Virginia, US",7,8,14.29
"Montgomery, Virginia, US",7,16,128.57
"Amelia, Virginia, US",6,7,16.67
"Amherst, Virginia, US",6,8,33.33
"Bedford, Virginia, US",5,8,60.00
"Orange, Virginia, US",5,7,40.00
"Roanoke, Virginia, US",5,8,60.00
"Southampton, Virginia, US",5,5,0.00
"Warren, Virginia, US",5,6,20.00
"Washington, Virginia, US",5,10,100.00
"Buckingham, Virginia, US",4,6,50.00
"Buena Vista, Virginia, US",4,4,0.00
"Charles City, Virginia, US",4,4,0.00
"Franklin City, Virginia, US",4,4,0.00
"Greene, Virginia, US",4,4,0.00
"Greensville, Virginia, US",4,5,25.00
"Madison, Virginia, US",4,4,0.00
"Manassas Park, Virginia, US",4,4,0.00
"Powhatan, Virginia, US",4,4,0.00
"Sussex, Virginia, US",4,5,25.00
"Henry, Virginia, US",3,4,33.33
"Lexington, Virginia, US",3,3,0.00
"Northumberland, Virginia, US",3,3,0.00
"Pittsylvania, Virginia, US",3,3,0.00
"Poquoson, Virginia, US",3,4,33.33
"Prince Edward, Virginia, US",3,3,0.00
"Rockbridge, Virginia, US",3,3,0.00
"Surry, Virginia, US",3,3,0.00
"Tazewell, Virginia, US",3,4,33.33
"Waynesboro, Virginia, US",3,3,0.00
"Westmoreland, Virginia, US",3,3,0.00
