Location,3/25/20,3/26/20,delta
"King, Washington, US",1359,1577,16.04
"Snohomish, Washington, US",634,778,22.71
"Pierce, Washington, US",155,186,20.00
"Whatcom, Washington, US",64,86,34.38
"Skagit, Washington, US",48,78,62.50
"Yakima, Washington, US",47,61,29.79
"Island, Washington, US",38,64,68.42
"Spokane, Washington, US",33,67,103.03
"Grant, Washington, US",27,33,22.22
"Kitsap, Washington, US",20,33,65.00
"Kittitas, Washington, US",18,8,-55.56
"Clark, Washington, US",16,48,200.00
"Thurston, Washington, US",14,24,71.43
"Benton, Washington, US",12,19,58.33
"Chelan, Washington, US",10,10,0.00
"Jefferson, Washington, US",9,11,22.22
"Franklin, Washington, US",7,7,0.00
"Klickitat, Washington, US",6,7,16.67
"Clallam, Washington, US",4,5,25.00
"Cowlitz, Washington, US",3,7,133.33
"Douglas, Washington, US",2,5,150.00
"Lewis, Washington, US",2,5,150.00
"Mason, Washington, US",2,2,0.00
"Walla Walla, Washington, US",2,2,0.00
"Whitman, Washington, US",2,3,50.00
"Adams, Washington, US",1,3,200.00
"Columbia, Washington, US",1,1,0.00
"Grays Harbor, Washington, US",1,1,0.00
"Lincoln, Washington, US",1,1,0.00
"San Juan, Washington, US",1,2,100.00
"Stevens, Washington, US",1,2,100.00
"Asotin, Washington, US",0,0,0.00
"Ferry, Washington, US",0,1,0.00
"Garfield, Washington, US",0,0,0.00
"Okanogan, Washington, US",0,1,0.00
"Out of WA, Washington, US",0,0,0.00
"Pacific, Washington, US",0,0,0.00
"Pend Oreille, Washington, US",0,0,0.00
"Skamania, Washington, US",0,0,0.00
"Wahkiakum, Washington, US",0,0,0.00
