Location,3/27/20,3/28/20,delta
"Monongalia, West Virginia, US",24,23,-4.17
"Kanawha, West Virginia, US",15,17,13.33
"Jackson, West Virginia, US",5,6,20.00
"Berkeley, West Virginia, US",4,9,125.00
"Harrison, West Virginia, US",4,4,0.00
"Jefferson, West Virginia, US",4,4,0.00
"Marshall, West Virginia, US",3,3,0.00
"Marion, West Virginia, US",2,3,50.00
"Mercer, West Virginia, US",2,2,0.00
"Putnam, West Virginia, US",2,3,50.00
"Raleigh, West Virginia, US",2,3,50.00
"Tucker, West Virginia, US",2,2,0.00
"Wood, West Virginia, US",2,2,0.00
"Logan, West Virginia, US",1,1,0.00
"Mason, West Virginia, US",1,3,200.00
"Ohio, West Virginia, US",1,6,500.00
"Preston, West Virginia, US",1,1,0.00
"Upshur, West Virginia, US",1,1,0.00
"Barbour, West Virginia, US",0,0,0.00
"Boone, West Virginia, US",0,0,0.00
"Braxton, West Virginia, US",0,0,0.00
"Brooke, West Virginia, US",0,0,0.00
"Cabell, West Virginia, US",0,0,0.00
"Calhoun, West Virginia, US",0,0,0.00
"Clay, West Virginia, US",0,0,0.00
"Doddridge, West Virginia, US",0,0,0.00
"Fayette, West Virginia, US",0,0,0.00
"Gilmer, West Virginia, US",0,0,0.00
"Grant, West Virginia, US",0,0,0.00
"Greenbrier, West Virginia, US",0,1,0.00
"Hampshire, West Virginia, US",0,0,0.00
"Hancock, West Virginia, US",0,1,0.00
"Hardy, West Virginia, US",0,0,0.00
"Lewis, West Virginia, US",0,0,0.00
"Lincoln, West Virginia, US",0,0,0.00
"McDowell, West Virginia, US",0,0,0.00
"Mineral, West Virginia, US",0,0,0.00
"Mingo, West Virginia, US",0,0,0.00
"Monroe, West Virginia, US",0,0,0.00
"Morgan, West Virginia, US",0,0,0.00
"Nicholas, West Virginia, US",0,0,0.00
"Out of WV, West Virginia, US",0,0,0.00
"Pendleton, West Virginia, US",0,0,0.00
"Pleasants, West Virginia, US",0,1,0.00
"Pocahontas, West Virginia, US",0,0,0.00
"Randolph, West Virginia, US",0,0,0.00
"Ritchie, West Virginia, US",0,0,0.00
"Roane, West Virginia, US",0,0,0.00
"Summers, West Virginia, US",0,0,0.00
"Taylor, West Virginia, US",0,0,0.00
"Tyler, West Virginia, US",0,0,0.00
"Wayne, West Virginia, US",0,0,0.00
"Webster, West Virginia, US",0,0,0.00
"Wetzel, West Virginia, US",0,0,0.00
"Wirt, West Virginia, US",0,0,0.00
"Wyoming, West Virginia, US",0,0,0.00
