Location,10/18/20,10/19/20,delta
"Milwaukee, Wisconsin, US",34400,37386,8.68
"Brown, Wisconsin, US",12848,13497,5.05
"Dane, Wisconsin, US",12296,13052,6.15
"Waukesha, Wisconsin, US",9935,11170,12.43
"Outagamie, Wisconsin, US",7286,8078,10.87
"Winnebago, Wisconsin, US",7014,7943,13.24
"Racine, Wisconsin, US",6036,6913,14.53
"Kenosha, Wisconsin, US",4266,4908,15.05
"Rock, Wisconsin, US",3828,4328,13.06
"La Crosse, Wisconsin, US",3718,3972,6.83
"Washington, Wisconsin, US",3648,3993,9.46
"Fond du Lac, Wisconsin, US",3375,3644,7.97
"Marathon, Wisconsin, US",3165,3604,13.87
"Walworth, Wisconsin, US",3026,3285,8.56
"Sheboygan, Wisconsin, US",2949,3715,25.97
"Dodge, Wisconsin, US",2891,3166,9.51
"Eau Claire, Wisconsin, US",2558,2698,5.47
"Calumet, Wisconsin, US",2174,2335,7.41
"Jefferson, Wisconsin, US",2131,2283,7.13
"Portage, Wisconsin, US",2121,2329,9.81
"Manitowoc, Wisconsin, US",2004,2400,19.76
"Waupaca, Wisconsin, US",1849,2178,17.79
"Shawano, Wisconsin, US",1840,1937,5.27
"Ozaukee, Wisconsin, US",1778,2036,14.51
"Oconto, Wisconsin, US",1691,1835,8.52
"Grant, Wisconsin, US",1550,1663,7.29
"Sauk, Wisconsin, US",1383,1514,9.47
"Marinette, Wisconsin, US",1379,1508,9.35
"St. Croix, Wisconsin, US",1367,1511,10.53
"Columbia, Wisconsin, US",1321,1524,15.37
"Wood, Wisconsin, US",1254,1446,15.31
"Chippewa, Wisconsin, US",1017,1153,13.37
"Monroe, Wisconsin, US",878,967,10.14
"Kewaunee, Wisconsin, US",877,949,8.21
"Oneida, Wisconsin, US",877,956,9.01
"Trempealeau, Wisconsin, US",842,898,6.65
"Dunn, Wisconsin, US",827,896,8.34
"Green, Wisconsin, US",776,836,7.73
"Waushara, Wisconsin, US",741,797,7.56
"Barron, Wisconsin, US",730,831,13.84
"Douglas, Wisconsin, US",673,702,4.31
"Langlade, Wisconsin, US",624,695,11.38
"Clark, Wisconsin, US",623,732,17.50
"Door, Wisconsin, US",584,661,13.18
"Pierce, Wisconsin, US",582,849,45.88
"Juneau, Wisconsin, US",581,625,7.57
"Green Lake, Wisconsin, US",563,699,24.16
"Lincoln, Wisconsin, US",506,620,22.53
"Marquette, Wisconsin, US",479,533,11.27
"Lafayette, Wisconsin, US",445,466,4.72
"Vernon, Wisconsin, US",418,438,4.78
"Vilas, Wisconsin, US",397,440,10.83
"Forest, Wisconsin, US",392,405,3.32
"Polk, Wisconsin, US",388,415,6.96
"Richland, Wisconsin, US",364,383,5.22
"Adams, Wisconsin, US",352,422,19.89
"Iowa, Wisconsin, US",352,398,13.07
"Taylor, Wisconsin, US",334,370,10.78
"Sawyer, Wisconsin, US",319,344,7.84
"Crawford, Wisconsin, US",284,303,6.69
"Price, Wisconsin, US",272,291,6.99
"Burnett, Wisconsin, US",261,282,8.05
"Jackson, Wisconsin, US",256,285,11.33
"Ashland, Wisconsin, US",214,244,14.02
"Menominee, Wisconsin, US",206,219,6.31
"Buffalo, Wisconsin, US",197,214,8.63
"Washburn, Wisconsin, US",173,188,8.67
"Bayfield, Wisconsin, US",168,186,10.71
"Iron, Wisconsin, US",159,179,12.58
"Florence, Wisconsin, US",149,162,8.72
"Rusk, Wisconsin, US",139,163,17.27
"Pepin, Wisconsin, US",86,95,10.47
"Out of WI, Wisconsin, US",0,0,0.00
