Location,3/21/20,3/22/20,delta
"Milwaukee, Wisconsin, US",126,182,44.44
"Dane, Wisconsin, US",49,61,24.49
"Waukesha, Wisconsin, US",20,30,50.00
"Fond du Lac, Wisconsin, US",15,16,6.67
"Ozaukee, Wisconsin, US",11,13,18.18
"Sheboygan, Wisconsin, US",6,6,0.00
"Columbia, Wisconsin, US",5,5,0.00
"Kenosha, Wisconsin, US",5,10,100.00
"La Crosse, Wisconsin, US",5,5,0.00
"Winnebago, Wisconsin, US",5,5,0.00
"Racine, Wisconsin, US",4,4,0.00
"Brown, Wisconsin, US",3,3,0.00
"Eau Claire, Wisconsin, US",3,4,33.33
"Rock, Wisconsin, US",3,3,0.00
"Walworth, Wisconsin, US",3,3,0.00
"Washington, Wisconsin, US",3,14,366.67
"Outagamie, Wisconsin, US",2,2,0.00
"Sauk, Wisconsin, US",2,2,0.00
"St. Croix, Wisconsin, US",2,2,0.00
"Bayfield, Wisconsin, US",1,1,0.00
"Calumet, Wisconsin, US",1,1,0.00
"Chippewa, Wisconsin, US",1,1,0.00
"Douglas, Wisconsin, US",1,1,0.00
"Dunn, Wisconsin, US",1,1,0.00
"Green, Wisconsin, US",1,1,0.00
"Jefferson, Wisconsin, US",1,2,100.00
"Marathon, Wisconsin, US",1,1,0.00
"Pierce, Wisconsin, US",1,1,0.00
"Wood, Wisconsin, US",1,1,0.00
"Adams, Wisconsin, US",0,0,0.00
"Ashland, Wisconsin, US",0,0,0.00
"Barron, Wisconsin, US",0,0,0.00
"Buffalo, Wisconsin, US",0,0,0.00
"Burnett, Wisconsin, US",0,0,0.00
"Clark, Wisconsin, US",0,0,0.00
"Crawford, Wisconsin, US",0,0,0.00
"Dodge, Wisconsin, US",0,0,0.00
"Door, Wisconsin, US",0,0,0.00
"Florence, Wisconsin, US",0,0,0.00
"Forest, Wisconsin, US",0,0,0.00
"Grant, Wisconsin, US",0,0,0.00
"Green Lake, Wisconsin, US",0,0,0.00
"Iowa, Wisconsin, US",0,0,0.00
"Iron, Wisconsin, US",0,0,0.00
"Jackson, Wisconsin, US",0,0,0.00
"Juneau, Wisconsin, US",0,0,0.00
"Kewaunee, Wisconsin, US",0,0,0.00
"Lafayette, Wisconsin, US",0,0,0.00
"Langlade, Wisconsin, US",0,0,0.00
"Lincoln, Wisconsin, US",0,0,0.00
"Manitowoc, Wisconsin, US",0,0,0.00
"Marinette, Wisconsin, US",0,0,0.00
"Marquette, Wisconsin, US",0,0,0.00
"Menominee, Wisconsin, US",0,0,0.00
"Monroe, Wisconsin, US",0,0,0.00
"Oconto, Wisconsin, US",0,0,0.00
"Oneida, Wisconsin, US",0,0,0.00
"Out of WI, Wisconsin, US",0,0,0.00
"Pepin, Wisconsin, US",0,0,0.00
"Polk, Wisconsin, US",0,0,0.00
"Portage, Wisconsin, US",0,0,0.00
"Price, Wisconsin, US",0,0,0.00
"Richland, Wisconsin, US",0,0,0.00
"Rusk, Wisconsin, US",0,0,0.00
"Sawyer, Wisconsin, US",0,0,0.00
"Shawano, Wisconsin, US",0,0,0.00
"Taylor, Wisconsin, US",0,0,0.00
"Trempealeau, Wisconsin, US",0,0,0.00
"Vernon, Wisconsin, US",0,0,0.00
"Vilas, Wisconsin, US",0,0,0.00
"Washburn, Wisconsin, US",0,0,0.00
"Waupaca, Wisconsin, US",0,0,0.00
"Waushara, Wisconsin, US",0,0,0.00
