Location,4/4/20,4/5/20,delta
"Milwaukee, Wisconsin, US",1023,1190,16.32
"Dane, Wisconsin, US",269,280,4.09
"Waukesha, Wisconsin, US",141,154,9.22
"Kenosha, Wisconsin, US",81,98,20.99
"Washington, Wisconsin, US",52,57,9.62
"Ozaukee, Wisconsin, US",50,56,12.00
"Racine, Wisconsin, US",41,54,31.71
"Fond du Lac, Wisconsin, US",30,43,43.33
"Brown, Wisconsin, US",24,29,20.83
"Winnebago, Wisconsin, US",24,20,-16.67
"Rock, Wisconsin, US",20,28,40.00
"Sheboygan, Wisconsin, US",20,21,5.00
"La Crosse, Wisconsin, US",19,21,10.53
"Outagamie, Wisconsin, US",19,21,10.53
"Columbia, Wisconsin, US",18,19,5.56
"Sauk, Wisconsin, US",18,18,0.00
"Eau Claire, Wisconsin, US",16,21,31.25
"Walworth, Wisconsin, US",15,20,33.33
"Chippewa, Wisconsin, US",14,16,14.29
"Dodge, Wisconsin, US",14,14,0.00
"Jefferson, Wisconsin, US",13,14,7.69
"Marathon, Wisconsin, US",9,12,33.33
"Green, Wisconsin, US",8,9,12.50
"Douglas, Wisconsin, US",7,7,0.00
"Pepin, Wisconsin, US",7,0,-100.00
"Pierce, Wisconsin, US",7,7,0.00
"St. Croix, Wisconsin, US",7,7,0.00
"Clark, Wisconsin, US",6,6,0.00
"Dunn, Wisconsin, US",5,5,0.00
"Juneau, Wisconsin, US",4,5,25.00
"Bayfield, Wisconsin, US",3,3,0.00
"Calumet, Wisconsin, US",3,4,33.33
"Iowa, Wisconsin, US",3,3,0.00
"Monroe, Wisconsin, US",3,6,100.00
"Oneida, Wisconsin, US",3,3,0.00
"Portage, Wisconsin, US",3,3,0.00
"Vilas, Wisconsin, US",3,4,33.33
"Buffalo, Wisconsin, US",2,2,0.00
"Door, Wisconsin, US",2,4,100.00
"Grant, Wisconsin, US",2,2,0.00
"Jackson, Wisconsin, US",2,3,50.00
"Marinette, Wisconsin, US",2,2,0.00
"Marquette, Wisconsin, US",2,2,0.00
"Richland, Wisconsin, US",2,3,50.00
"Waupaca, Wisconsin, US",2,2,0.00
"Wood, Wisconsin, US",2,2,0.00
"Adams, Wisconsin, US",1,1,0.00
"Ashland, Wisconsin, US",1,1,0.00
"Barron, Wisconsin, US",1,4,300.00
"Crawford, Wisconsin, US",1,2,100.00
"Iron, Wisconsin, US",1,1,0.00
"Manitowoc, Wisconsin, US",1,3,200.00
"Menominee, Wisconsin, US",1,1,0.00
"Oconto, Wisconsin, US",1,1,0.00
"Rusk, Wisconsin, US",1,3,200.00
"Trempealeau, Wisconsin, US",1,1,0.00
"Burnett, Wisconsin, US",0,0,0.00
"Florence, Wisconsin, US",0,1,0.00
"Forest, Wisconsin, US",0,0,0.00
"Green Lake, Wisconsin, US",0,0,0.00
"Kewaunee, Wisconsin, US",0,0,0.00
"Lafayette, Wisconsin, US",0,0,0.00
"Langlade, Wisconsin, US",0,0,0.00
"Lincoln, Wisconsin, US",0,0,0.00
"Out of WI, Wisconsin, US",0,0,0.00
"Polk, Wisconsin, US",0,0,0.00
"Price, Wisconsin, US",0,0,0.00
"Sawyer, Wisconsin, US",0,0,0.00
"Shawano, Wisconsin, US",0,1,0.00
"Taylor, Wisconsin, US",0,0,0.00
"Vernon, Wisconsin, US",0,0,0.00
"Washburn, Wisconsin, US",0,0,0.00
"Waushara, Wisconsin, US",0,0,0.00
