Location,4/20/20,4/21/20,delta
"Laramie, Wyoming, US",73,110,50.68
"Teton, Wyoming, US",62,92,48.39
"Fremont, Wyoming, US",51,58,13.73
"Natrona, Wyoming, US",38,48,26.32
"Campbell, Wyoming, US",13,18,38.46
"Sheridan, Wyoming, US",12,16,33.33
"Johnson, Wyoming, US",11,15,36.36
"Sweetwater, Wyoming, US",10,16,60.00
"Converse, Wyoming, US",9,15,66.67
"Albany, Wyoming, US",6,6,0.00
"Uinta, Wyoming, US",6,7,16.67
"Lincoln, Wyoming, US",5,9,80.00
"Washakie, Wyoming, US",5,8,60.00
"Carbon, Wyoming, US",4,4,0.00
"Crook, Wyoming, US",4,5,25.00
"Goshen, Wyoming, US",3,4,33.33
"Big Horn, Wyoming, US",1,3,200.00
"Hot Springs, Wyoming, US",1,3,200.00
"Niobrara, Wyoming, US",1,2,100.00
"Park, Wyoming, US",1,1,0.00
"Sublette, Wyoming, US",1,3,200.00
"Out of WY, Wyoming, US",0,0,0.00
"Platte, Wyoming, US",0,0,0.00
"Weston, Wyoming, US",0,0,0.00
