Location,8/19/20,8/20/20,delta
"Fremont, Wyoming, US",551,560,1.63
"Laramie, Wyoming, US",533,534,0.19
"Teton, Wyoming, US",394,398,1.02
"Sweetwater, Wyoming, US",285,285,0.00
"Uinta, Wyoming, US",283,283,0.00
"Natrona, Wyoming, US",251,256,1.99
"Carbon, Wyoming, US",180,180,0.00
"Campbell, Wyoming, US",152,155,1.97
"Park, Wyoming, US",152,153,0.66
"Albany, Wyoming, US",105,107,1.90
"Lincoln, Wyoming, US",104,107,2.88
"Washakie, Wyoming, US",104,106,1.92
"Sheridan, Wyoming, US",101,108,6.93
"Sublette, Wyoming, US",41,41,0.00
"Goshen, Wyoming, US",40,40,0.00
"Big Horn, Wyoming, US",38,39,2.63
"Converse, Wyoming, US",34,34,0.00
"Johnson, Wyoming, US",26,26,0.00
"Hot Springs, Wyoming, US",23,23,0.00
"Crook, Wyoming, US",13,13,0.00
"Weston, Wyoming, US",12,0,-100.00
"Platte, Wyoming, US",7,7,0.00
"Niobrara, Wyoming, US",2,2,0.00
"Out of WY, Wyoming, US",0,0,0.00
