"Laramie, Wyoming, US",47,48,2.13
"Teton, Wyoming, US",41,44,7.32
"Fremont, Wyoming, US",38,38,0.00
"Natrona, Wyoming, US",26,26,0.00
"Sheridan, Wyoming, US",12,12,0.00
"Campbell, Wyoming, US",9,9,0.00
"Johnson, Wyoming, US",8,8,0.00
"Sweetwater, Wyoming, US",5,6,20.00
"Albany, Wyoming, US",4,4,0.00
"Carbon, Wyoming, US",4,4,0.00
"Converse, Wyoming, US",4,4,0.00
"Lincoln, Wyoming, US",4,4,0.00
"Washakie, Wyoming, US",4,5,25.00
"Goshen, Wyoming, US",3,3,0.00
"Uinta, Wyoming, US",3,3,0.00
"Crook, Wyoming, US",1,1,0.00
"Park, Wyoming, US",1,1,0.00
"Platte, Wyoming, US",1,0,-100.00
"Sublette, Wyoming, US",1,1,0.00
"Big Horn, Wyoming, US",0,0,0.00
"Hot Springs, Wyoming, US",0,0,0.00
"Niobrara, Wyoming, US",0,0,0.00
"Out of WY, Wyoming, US",0,0,0.00
"Weston, Wyoming, US",0,0,0.00
